Date,State,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/17/20,Canberra (ACT),3,3,0,1.0,3,1.0,,,0,1.0,,1.0,,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,Canberra (ACT),3,0,3,,1.5,,,0,,,0,,,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1
3/19/2020,Canberra (ACT),4,1,0,2.1,0.5,4.2,,0,0,,0,,,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1
3/20/2020,Canberra (ACT),6,2,1,1.4,1.5,1.9,,0,0,,0,,,0,0,0,6,4,1,0,0,0,4,0,0,0,0,0,0,0,0,1
3/21/2020,Canberra (ACT),9,3,2,1.4,2.5,1.7,,0,0,,0,,,0,0,0,9,5,2,0,0,0,5,0,0,0,0,0,0,0,0,1
3/22/2020,Canberra (ACT),19,10,3,0.6,6.5,1.0,,0,0,,0,,,0,0,0,19,6,3,0,0,0,6,0,0,0,0,0,0,0,0,1
3/23/2020,Canberra (ACT),32,13,10,1.0,11.5,1.2,,0,0,,,,,0,0,0,32,7,4,0,0,0,7,0,0,0,0,0,0,0,0,1
3/17/20,External territories,0,0,0,1.0,0,1.0,,,0,1.0,,1.0,,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
3/18/20,External territories,0,0,0,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1
3/19/2020,External territories,0,0,0,,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1
3/20/2020,External territories,0,0,0,,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1
3/21/2020,External territories,0,0,0,,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1
3/22/2020,External territories,0,0,0,,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1
3/23/2020,External territories,0,0,0,,0,,,0,0,,,,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1
