Date,State,Type,Cases
3/17/20,Canberra (ACT),Confirmed,3
3/17/20,Canberra (ACT),Deaths,
3/17/20,Canberra (ACT),Serious,
3/17/20,Canberra (ACT),Critical,
3/17/20,Canberra (ACT),Recovered,
3/18/20,Canberra (ACT),Confirmed,3
3/18/20,Canberra (ACT),Deaths,
3/18/20,Canberra (ACT),Serious,
3/18/20,Canberra (ACT),Critical,
3/18/20,Canberra (ACT),Recovered,
3/19/2020,Canberra (ACT),Confirmed,4
3/19/2020,Canberra (ACT),Deaths,
3/19/2020,Canberra (ACT),Serious,
3/19/2020,Canberra (ACT),Critical,
3/19/2020,Canberra (ACT),Recovered,
3/20/2020,Canberra (ACT),Confirmed,6
3/20/2020,Canberra (ACT),Deaths,
3/20/2020,Canberra (ACT),Serious,
3/20/2020,Canberra (ACT),Critical,
3/20/2020,Canberra (ACT),Recovered,
3/21/2020,Canberra (ACT),Confirmed,9
3/21/2020,Canberra (ACT),Deaths,
3/21/2020,Canberra (ACT),Serious,
3/21/2020,Canberra (ACT),Critical,
3/21/2020,Canberra (ACT),Recovered,
3/22/2020,Canberra (ACT),Confirmed,19
3/22/2020,Canberra (ACT),Deaths,
3/22/2020,Canberra (ACT),Serious,
3/22/2020,Canberra (ACT),Critical,
3/22/2020,Canberra (ACT),Recovered,
3/17/20,External territories,Confirmed,0
3/17/20,External territories,Deaths,
3/17/20,External territories,Serious,
3/17/20,External territories,Critical,
3/17/20,External territories,Recovered,
3/18/20,External territories,Confirmed,0
3/18/20,External territories,Deaths,
3/18/20,External territories,Serious,
3/18/20,External territories,Critical,
3/18/20,External territories,Recovered,
3/19/2020,External territories,Confirmed,0
3/19/2020,External territories,Deaths,
3/19/2020,External territories,Serious,
3/19/2020,External territories,Critical,
3/19/2020,External territories,Recovered,
3/20/2020,External territories,Confirmed,0
3/20/2020,External territories,Deaths,
3/20/2020,External territories,Serious,
3/20/2020,External territories,Critical,
3/20/2020,External territories,Recovered,
3/21/2020,External territories,Confirmed,0
