Date,Province,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/17/20,Alberta,97,97,0,1.0,97,1.0,0,0,0,1.0,0,1.0,,0,0,0,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Alberta,119,22,97,3.1,59.5,3.1,0,0,0,,0,,,0,0,0,119,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Alberta,146,27,22,3.1,24.5,3.4,1,1,0,,0.5,,,0,0,0,145,3,3,2,0,0,1,0,0,0,0,0,0,0,0,1
3/20/2020,Alberta,195,49,27,2.1,38,2.7,1,0,1,,0.5,1.4,2,0,0,0,192,4,4,3,0,0,2,0,0,0,0,0,0,0,0,1
3/21/2020,Alberta,226,31,49,4.3,40,3.4,1,0,0,,0,,2,0,0,0,223,5,5,4,0,0,3,0,0,0,0,0,0,0,0,1
3/22/2020,Alberta,259,33,31,4.7,32,4.9,1,0,0,,,,3,0,0,0,255,6,6,5,1,0,4,0,0,0,0,0,0,0,0,1
3/17/20,British Columbia,186,186,0,1.0,186,1.0,7,7,0,1.0,7,1.0,6,1,1,1,173,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0
3/18/20,British Columbia,231,45,186,2.7,115.5,2.7,7,0,7,,3.5,,6,7,7,4,218,2,2,2,0,0,2,2,0,0,0,2,1,0,0,1
3/19/2020,British Columbia,271,40,45,3.8,42.5,3.6,8,1,0,4.9,0.5,9.8,6,7,7,7,257,3,3,3,1,0,3,3,0,0,0,3,2,0,0,1
3/20/2020,British Columbia,348,77,40,2.3,58.5,3.1,9,1,1,5.6,1,5.6,5,7,7,7,334,4,4,4,2,0,4,4,0,0,0,4,3,0,0,1
3/21/2020,British Columbia,424,76,77,3.1,76.5,3.1,10,1,1,6.3,1,6.3,6,7,7,7,408,5,5,5,3,0,5,5,0,0,0,5,4,0,0,1
3/22/2020,British Columbia,424,0,76,3.8,76.5,3.7,10,0,1,7.0,6.3,7.0,6,7,7,7,408,6,6,6,4,0,6,6,0,0,0,6,5,0,0,1
3/17/20,Manitoba,15,15,0,1.0,15,1.0,0,0,0,1.0,0,1.0,,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Manitoba,17,2,15,5.3,8.5,5.3,0,0,0,,0,,,0,0,0,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Manitoba,17,0,2,,1,11.9,0,0,0,,0,,,0,0,0,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Manitoba,17,0,0,,0,,0,0,0,,0,,,0,0,0,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Manitoba,19,2,0,6.0,1,11.9,0,0,0,,0,,,0,0,0,19,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Manitoba,20,1,2,13.3,1.5,8.9,0,0,0,,,,,0,0,0,20,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,New Brunswick,8,8,0,1.0,8,1.0,0,0,0,1.0,0,1.0,,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,New Brunswick,11,3,8,1.9,5.5,1.9,0,0,0,,0,,,0,0,0,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,New Brunswick,11,0,3,,1.5,5.1,0,0,0,,0,,,0,0,0,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,New Brunswick,11,0,0,,0,,0,0,0,,0,,,0,0,0,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,New Brunswick,17,6,0,1.3,3,2.6,0,0,0,,0,,,0,0,0,17,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,New Brunswick,17,0,6,2.0,3,4.0,0,0,0,,,,,0,0,0,17,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Newfoundland & Labrador,1,1,0,1.0,1,1.0,0,0,0,1.0,0,1.0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Newfoundland & Labrador,3,2,1,0.3,1.5,0.3,0,0,0,,0,,,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Newfoundland & Labrador,3,0,2,,1,2.1,0,0,0,,0,,,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Newfoundland & Labrador,4,1,0,2.1,0.5,4.2,0,0,0,,0,,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Newfoundland & Labrador,6,2,1,1.4,1.5,1.9,0,0,0,,0,,,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Newfoundland & Labrador,9,3,2,1.4,2.5,1.7,0,0,0,,,,,0,0,0,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Northwest Territories,0,0,0,1.0,0,1.0,0,0,0,1.0,0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Northwest Territories,0,0,0,,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Northwest Territories,0,0,0,,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Northwest Territories,0,0,0,,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Northwest Territories,1,1,0,,0.5,,0,0,0,,0,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Northwest Territories,1,0,1,0.7,0.5,1.4,0,0,0,,,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Nova Scotia,13,13,0,1.0,13,1.0,0,0,0,1.0,0,1.0,,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Nova Scotia,12,-1,13,-9.1,6,-9.1,0,0,0,,0,,,0,0,0,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Nova Scotia,14,2,-1,4.2,0.5,16.8,0,0,0,,0,,,0,0,0,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Nova Scotia,15,1,2,9.8,1.5,6.5,0,0,0,,0,,,0,0,0,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Nova Scotia,21,6,1,1.8,3.5,3.0,0,0,0,,0,,,0,0,0,21,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Nova Scotia,28,7,6,2.1,6.5,2.3,0,0,0,,,,,0,0,0,28,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Nunavut,0,0,0,1.0,0,1.0,0,0,0,1.0,0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Nunavut,0,0,0,,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Nunavut,0,0,0,,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Nunavut,0,0,0,,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Nunavut,0,0,0,,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Nunavut,0,0,0,,0,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Ontario,189,189,0,1.0,189,1.0,1,1,0,1.0,1,1.0,5,0,0,0,183,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,Ontario,212,23,189,5.6,106,5.6,1,0,1,,0.5,,5,0,0,0,206,2,2,2,0,0,2,0,0,0,0,0,0,0,0,1
3/19/2020,Ontario,258,46,23,3.1,34.5,4.2,2,1,0,0.7,0.5,1.4,5,0,0,0,251,3,3,3,1,0,3,0,0,0,0,0,0,0,0,1
3/20/2020,Ontario,318,60,46,2.9,53,3.3,2,0,1,,0.5,2.8,5,0,0,0,311,4,4,4,2,0,4,0,0,0,0,0,0,0,0,1
3/21/2020,Ontario,377,59,60,3.7,59.5,3.7,3,1,0,1.4,0.5,2.8,6,0,0,0,368,5,5,5,3,0,5,0,0,0,0,0,0,0,0,1
3/22/2020,Ontario,425,48,59,5.4,53.5,4.8,5,2,1,1.1,1.5,1.4,8,0,0,0,412,6,6,6,4,0,6,1,0,0,0,0,0,0,0,1
3/17/20,Prince Edward Island,1,1,0,1.0,1,1.0,0,0,0,1.0,0,1.0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Prince Edward Island,1,0,1,,0.5,,0,0,0,,0,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Prince Edward Island,2,1,0,0.7,0.5,1.4,0,0,0,,0,,,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Prince Edward Island,2,0,1,,0.5,2.8,0,0,0,,0,,,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Prince Edward Island,2,0,0,,0,,0,0,0,,0,,,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Prince Edward Island,3,1,0,1.4,0.5,2.8,0,0,0,,,,,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Quebec,74,74,0,1.0,74,1.0,0,0,0,1.0,0,1.0,,0,0,0,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Quebec,94,20,74,2.6,47,2.6,1,1,0,,0.5,,1,0,0,0,92,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1
3/19/2020,Quebec,121,27,20,2.4,23.5,2.7,1,0,1,,0.5,1.4,1,0,0,0,119,3,3,1,0,0,2,0,0,0,0,0,0,0,0,1
3/20/2020,Quebec,139,18,27,4.6,22.5,3.7,1,0,0,,0,,1,0,0,0,137,4,4,2,0,0,3,0,0,0,0,0,0,0,0,1
3/21/2020,Quebec,181,42,18,2.3,30,3.2,5,4,0,0.2,2,0.3,1,0,0,0,175,5,5,3,0,0,4,1,0,0,0,0,0,0,0,1
3/22/2020,Quebec,219,38,42,3.2,40,3.1,5,0,4,0.9,0.2,1.8,1,0,0,0,213,6,6,4,0,0,5,2,0,0,0,0,0,0,0,1
3/17/20,Saskatchewan,8,8,0,1.0,8,1.0,0,0,0,1.0,0,1.0,,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Saskatchewan,16,8,8,0.7,8,0.7,0,0,0,,0,,,0,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Saskatchewan,20,4,8,2.8,6,1.9,0,0,0,,0,,,0,0,0,20,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
