Date,Province,Type,Cases
3/17/20,Alberta,Confirmed,97
3/17/20,Alberta,Deaths,0
3/17/20,Alberta,Serious,
3/17/20,Alberta,Critical,
3/17/20,Alberta,Recovered,
3/18/20,Alberta,Confirmed,119
3/18/20,Alberta,Deaths,0
3/18/20,Alberta,Serious,
3/18/20,Alberta,Critical,
3/18/20,Alberta,Recovered,
3/19/2020,Alberta,Confirmed,146
3/19/2020,Alberta,Deaths,1
3/19/2020,Alberta,Serious,
3/19/2020,Alberta,Critical,
3/19/2020,Alberta,Recovered,
3/20/2020,Alberta,Confirmed,195
3/20/2020,Alberta,Deaths,1
3/20/2020,Alberta,Serious,
3/20/2020,Alberta,Critical,
3/20/2020,Alberta,Recovered,2
3/21/2020,Alberta,Confirmed,226
3/21/2020,Alberta,Deaths,1
3/21/2020,Alberta,Serious,
3/21/2020,Alberta,Critical,
3/21/2020,Alberta,Recovered,2
3/22/2020,Alberta,Confirmed,259
3/22/2020,Alberta,Deaths,1
3/22/2020,Alberta,Serious,
3/22/2020,Alberta,Critical,
3/22/2020,Alberta,Recovered,3
3/17/20,British Columbia,Confirmed,186
3/17/20,British Columbia,Deaths,7
3/17/20,British Columbia,Serious,
3/17/20,British Columbia,Critical,1
3/17/20,British Columbia,Recovered,6
3/18/20,British Columbia,Confirmed,231
3/18/20,British Columbia,Deaths,7
3/18/20,British Columbia,Serious,
3/18/20,British Columbia,Critical,7
3/18/20,British Columbia,Recovered,6
3/19/2020,British Columbia,Confirmed,271
3/19/2020,British Columbia,Deaths,8
3/19/2020,British Columbia,Serious,
3/19/2020,British Columbia,Critical,7
3/19/2020,British Columbia,Recovered,6
3/20/2020,British Columbia,Confirmed,348
3/20/2020,British Columbia,Deaths,9
3/20/2020,British Columbia,Serious,
3/20/2020,British Columbia,Critical,7
3/20/2020,British Columbia,Recovered,5
3/21/2020,British Columbia,Confirmed,424
3/21/2020,British Columbia,Deaths,10
3/21/2020,British Columbia,Serious,
3/21/2020,British Columbia,Critical,7
3/21/2020,British Columbia,Recovered,6
3/22/2020,British Columbia,Confirmed,424
3/22/2020,British Columbia,Deaths,10
3/22/2020,British Columbia,Serious,
3/22/2020,British Columbia,Critical,7
3/22/2020,British Columbia,Recovered,6
3/17/20,Manitoba,Confirmed,15
3/17/20,Manitoba,Deaths,0
3/17/20,Manitoba,Serious,
3/17/20,Manitoba,Critical,
3/17/20,Manitoba,Recovered,
3/18/20,Manitoba,Confirmed,17
3/18/20,Manitoba,Deaths,0
3/18/20,Manitoba,Serious,
3/18/20,Manitoba,Critical,
3/18/20,Manitoba,Recovered,
3/19/2020,Manitoba,Confirmed,17
3/19/2020,Manitoba,Deaths,0
3/19/2020,Manitoba,Serious,
3/19/2020,Manitoba,Critical,
3/19/2020,Manitoba,Recovered,
3/20/2020,Manitoba,Confirmed,17
3/20/2020,Manitoba,Deaths,0
3/20/2020,Manitoba,Serious,
3/20/2020,Manitoba,Critical,
3/20/2020,Manitoba,Recovered,
3/21/2020,Manitoba,Confirmed,19
3/21/2020,Manitoba,Deaths,0
3/21/2020,Manitoba,Serious,
3/21/2020,Manitoba,Critical,
3/21/2020,Manitoba,Recovered,
3/22/2020,Manitoba,Confirmed,20
3/22/2020,Manitoba,Deaths,0
3/22/2020,Manitoba,Serious,
3/22/2020,Manitoba,Critical,
3/22/2020,Manitoba,Recovered,
3/17/20,New Brunswick,Confirmed,8
3/17/20,New Brunswick,Deaths,0
3/17/20,New Brunswick,Serious,
3/17/20,New Brunswick,Critical,
3/17/20,New Brunswick,Recovered,
3/18/20,New Brunswick,Confirmed,11
3/18/20,New Brunswick,Deaths,0
3/18/20,New Brunswick,Serious,
3/18/20,New Brunswick,Critical,
3/18/20,New Brunswick,Recovered,
3/19/2020,New Brunswick,Confirmed,11
3/19/2020,New Brunswick,Deaths,0
3/19/2020,New Brunswick,Serious,
3/19/2020,New Brunswick,Critical,
3/19/2020,New Brunswick,Recovered,
3/20/2020,New Brunswick,Confirmed,11
