Date,Country,Confirmed,Deaths,Critical,Recovered
3/17/2020,Afghanistan,73,0,,
3/18/2020,Afghanistan,73,0,,1
3/19/2020,Afghanistan,22,0,,1
3/20/2020,Afghanistan,22,0,0,1
3/21/2020,Afghanistan,24,0,N/A,1
3/22/2020,Afghanistan,24,0,N/A,1
3/17/2020,Albania,51,1,,0
3/18/2020,Albania,55,1,,0
3/19/2020,Albania,59,2,,0
3/20/2020,Albania,64,2,3,0
3/21/2020,Albania,70,2,3,0
3/22/2020,Albania,76,2,3,0
3/17/2020,Algeria,60,4,,10
3/18/2020,Algeria,72,6,,10
3/19/2020,Algeria,82,8,,10
3/20/2020,Algeria,82,8,0,10
3/21/2020,Algeria,102,9,N/A,10
3/22/2020,Algeria,102,9,N/A,10
3/17/2020,Andorra,14,0,,
3/18/2020,Andorra,39,0,,
3/19/2020,Andorra,53,0,,
3/20/2020,Andorra,74,0,2,0
3/21/2020,Andorra,87,0,2,N/A
3/22/2020,Andorra,87,0,2,N/A
3/18/2020,Antigua and Barbuda,1,0,0,0
3/19/2020,Antigua and Barbuda,1,0,0,0
3/20/2020,Antigua and Barbuda,1,0,0,0
3/21/2020,Antigua and Barbuda,1,0,0,0
3/22/2020,Antigua and Barbuda,1,0,0,0
3/17/2020,Argentina,65,2,,
3/18/2020,Argentina,79,2,,
3/19/2020,Argentina,97,2,,
3/20/2020,Argentina,128,3,0,0
3/21/2020,Argentina,158,3,N/A,N/A
3/22/2020,Argentina,225,4,N/A,N/A
3/17/2020,Armenia,52,0,,1
3/18/2020,Armenia,78,0,,1
3/19/2020,Armenia,115,0,0,1
3/20/2020,Armenia,136,0,0,1
3/21/2020,Armenia,160,0,0,1
3/22/2020,Armenia,190,0,0,2
3/19/2020,Aruba,4,0,,
3/20/2020,Aruba,5,0,0,1
3/21/2020,Aruba,5,0,N/A,1
3/22/2020,Aruba,5,0,N/A,1
3/17/2020,Australia,456,5,,27
3/18/2020,Australia,568,6,,27
3/19/2020,Australia,710,6,,27
3/20/2020,Australia,877,7,0,52
3/21/2020,Australia,1237,7,N/A,73
3/22/2020,Australia,1349,7,N/A,73
3/17/2020,Austria,1332,3,,9
3/18/2020,Austria,1471,3,,9
3/19/2020,Austria,2013,7,,9
3/20/2020,Austria,2203,7,0,9
3/21/2020,Austria,2814,11,N/A,9
3/22/2020,Austria,3026,11,N/A,9
3/17/2020,Azerbaijan,28,1,,3
3/18/2020,Azerbaijan,30,1,,7
3/19/2020,Azerbaijan,34,1,,10
3/20/2020,Azerbaijan,44,1,0,10
3/21/2020,Azerbaijan,44,1,N/A,10
3/22/2020,Azerbaijan,44,1,N/A,10
3/17/2020,Bahamas,1,0,,
3/18/2020,Bahamas,3,0,,
3/19/2020,Bahamas,3,0,,
3/20/2020,Bahamas,3,0,0,0
3/21/2020,Bahamas,4,0,N/A,N/A
3/22/2020,Bahamas,4,0,N/A,N/A
3/17/2020,Bahrain,242,1,3,88
3/18/2020,Bahrain,242,1,3,88
3/19/2020,Bahrain,279,1,3,110
3/20/2020,Bahrain,279,1,3,110
3/21/2020,Bahrain,310,1,4,125
3/22/2020,Bahrain,334,2,3,149
3/17/2020,Bangladesh,10,0,,
3/18/2020,Bangladesh,11,1,,
3/19/2020,Bangladesh,17,1,,
3/20/2020,Bangladesh,20,1,0,0
3/21/2020,Bangladesh,24,2,N/A,N/A
3/22/2020,Bangladesh,24,2,N/A,N/A
3/19/2020,Barbados,2,0,,
3/20/2020,Barbados,5,0,0,0
3/21/2020,Barbados,6,0,N/A,N/A
3/22/2020,Barbados,6,0,N/A,N/A
3/17/2020,Belarus,36,0,,3
3/18/2020,Belarus,51,0,,5
3/19/2020,Belarus,51,0,,5
3/20/2020,Belarus,57,0,0,15
3/21/2020,Belarus,69,0,N/A,15
3/22/2020,Belarus,76,0,N/A,15
3/17/2020,Belgium,1243,10,,1
3/18/2020,Belgium,1486,14,,31
3/19/2020,Belgium,1795,21,,31
3/20/2020,Belgium,1795,21,100,31
3/21/2020,Belgium,2815,67,238,31
3/22/2020,Belgium,2815,67,238,31
3/17/2020,Benin,1,0,,
3/18/2020,Benin,1,0,,
3/19/2020,Benin,2,0,,
3/20/2020,Benin,2,0,0,0
3/21/2020,Benin,2,0,N/A,N/A
3/22/2020,Benin,2,0,N/A,N/A
3/17/2020,Bhutan,1,0,,
3/18/2020,Bhutan,1,0,,
3/19/2020,Bhutan,1,0,,
3/20/2020,Bhutan,2,0,0,0
3/21/2020,Bhutan,2,0,N/A,N/A
3/22/2020,Bhutan,2,0,N/A,N/A
3/17/2020,Bolivia,11,0,,
3/18/2020,Bolivia,12,0,,
3/19/2020,Bolivia,15,0,,
3/20/2020,Bolivia,15,0,0,0
3/21/2020,Bolivia,19,0,N/A,N/A
3/22/2020,Bolivia,20,0,N/A,N/A
3/17/2020,Bosnia,26,0,,
3/18/2020,Bosnia,34,0,,
3/19/2020,Bosnia,36,0,,
3/20/2020,Bosnia,69,0,0,2
3/21/2020,Bosnia,90,0,N/A,2
3/22/2020,Bosnia,94,1,N/A,2
3/17/2020,Brazil,346,1,,1
3/18/2020,Brazil,509,4,,1
3/19/2020,Brazil,635,7,,1
3/20/2020,Brazil,904,11,0,1
3/21/2020,Brazil,1178,18,N/A,1
3/22/2020,Brazil,1178,18,N/A,1
3/17/2020,Brunei,54,0,,
3/18/2020,Brunei,56,0,2,0
3/19/2020,Brunei,68,0,2,0
3/20/2020,Brunei,73,0,2,0
3/21/2020,Brunei,78,0,2,1
3/22/2020,Brunei,83,0,2,2
3/17/2020,Bulgaria,67,2,,
3/18/2020,Bulgaria,81,2,,
3/19/2020,Bulgaria,94,3,,
3/20/2020,Bulgaria,112,3,0,0
3/21/2020,Bulgaria,142,3,N/A,3
3/22/2020,Bulgaria,171,3,N/A,3
3/17/2020,Burkina Faso,20,0,,
3/18/2020,Burkina Faso,27,1,,
3/19/2020,Burkina Faso,27,1,,
3/20/2020,Burkina Faso,40,1,0,4
3/21/2020,Burkina Faso,40,1,N/A,4
3/22/2020,Burkina Faso,64,3,N/A,4
3/17/2020,Cambodia,33,0,,1
3/18/2020,Cambodia,33,0,,1
3/19/2020,Cambodia,37,0,,1
3/20/2020,Cambodia,47,0,0,1
3/21/2020,Cambodia,51,0,N/A,1
3/22/2020,Cambodia,51,0,N/A,1
3/17/2020,Cameroon,5,0,,
3/18/2020,Cameroon,10,0,,
3/19/2020,Cameroon,11,0,,
3/20/2020,Cameroon,21,0,0,2
3/21/2020,Cameroon,27,0,N/A,2
3/22/2020,Cameroon,40,0,N/A,2
3/17/2020,Canada,592,8,1,11
3/18/2020,Canada,716,9,7,12
3/19/2020,Canada,863,12,7,12
3/20/2020,Canada,1075,13,7,13
3/21/2020,Canada,1318,19,7,15
3/22/2020,Canada,1318,19,7,15
3/19/2020,Cayman Islands,1,0,,
3/20/2020,Cayman Islands,3,1,0,0
3/21/2020,Cayman Islands,3,1,N/A,N/A
3/22/2020,Cayman Islands,3,1,N/A,N/A
3/17/2020,Central African Republic,1,0,,
3/18/2020,Central African Republic,1,0,,
3/19/2020,Central African Republic,1,0,,
3/20/2020,Central African Republic,1,0,0,0
3/21/2020,Central African Republic,1,0,N/A,N/A
3/22/2020,Central African Republic,1,0,N/A,N/A
3/20/2020,Chad,1,0,0,0
3/21/2020,Chad,1,0,N/A,N/A
3/22/2020,Chad,1,0,N/A,N/A
3/17/2020,Chile,201,0,,
3/18/2020,Chile,238,0,,
3/19/2020,Chile,238,0,,
3/20/2020,Chile,434,0,0,0
3/21/2020,Chile,537,0,N/A,8
3/22/2020,Chile,537,0,N/A,8
3/17/2020,China,80881,3226,,68869
3/18/2020,China,80928,3245,,70420
3/19/2020,China,80928,3245,,70420
3/20/2020,China,80967,3248,2314,70420
3/21/2020,China,81054,3261,1963,72440
3/22/2020,China,81054,3261,1963,72440
3/17/2020,Colombia,57,0,,
3/18/2020,Colombia,102,0,,
3/19/2020,Colombia,102,0,,
3/20/2020,Colombia,128,0,0,0
3/21/2020,Colombia,158,0,N/A,N/A
3/22/2020,Colombia,210,1,N/A,N/A
3/17/2020,Congo Republic,1,0,,
3/18/2020,Congo Republic,1,0,,
3/19/2020,Congo Republic,3,0,,
3/20/2020,Congo Republic,3,0,0,0
3/21/2020,Congo Republic,3,0,N/A,N/A
3/22/2020,Congo Republic,3,0,N/A,N/A
3/17/2020,Costa Rica,41,0,,
3/18/2020,Costa Rica,50,0,,
3/19/2020,Costa Rica,69,1,,
3/20/2020,Costa Rica,87,2,1,0
3/21/2020,Costa Rica,113,2,1,N/A
3/22/2020,Costa Rica,117,2,1,2
3/17/2020,Croatia,65,0,,1
3/18/2020,Croatia,65,0,,4
3/19/2020,Croatia,97,0,,4
3/20/2020,Croatia,110,1,0,4
3/21/2020,Croatia,168,1,N/A,5
3/22/2020,Croatia,206,1,N/A,5
3/17/2020,Cuba,5,0,,
3/18/2020,Cuba,11,1,1,
3/19/2020,Cuba,11,1,1,
3/20/2020,Cuba,16,1,1,0
3/21/2020,Cuba,21,1,0,0
3/22/2020,Cuba,25,1,2,2
3/19/2020,Curaçao,3,1,,
3/20/2020,Curaçao,3,1,0,0
3/21/2020,Curaçao,3,1,N/A,N/A
3/22/2020,Curaçao,3,1,N/A,N/A
3/17/2020,Cyprus,46,0,,
3/18/2020,Cyprus,49,0,,
3/19/2020,Cyprus,59,0,,
3/20/2020,Cyprus,67,0,0,0
3/21/2020,Cyprus,84,1,N/A,N/A
3/22/2020,Cyprus,84,1,N/A,N/A
3/17/2020,Czech Republic,434,0,0,3
3/18/2020,Czech Republic,464,0,0,3
3/19/2020,Czech Republic,694,0,0,3
3/20/2020,Czech Republic,833,0,2,4
3/21/2020,Czech Republic,995,0,2,6
3/22/2020,Czech Republic,1120,1,2,6
3/17/2020,Denmark,1024,4,,
3/18/2020,Denmark,1091,4,,
3/19/2020,Denmark,1223,6,,
3/20/2020,Denmark,1335,9,0,0
3/21/2020,Denmark,1418,13,37,3
3/22/2020,Denmark,1418,13,37,3
3/17/2020,Diamond Princess,712,7,,458
3/18/2020,Diamond Princess,712,7,,458
3/19/2020,Diamond Princess,712,7,,551
3/20/2020,Diamond Princess,712,7,12,551
3/21/2020,Diamond Princess,712,8,12,551
3/22/2020,Diamond Princess,712,8,12,551
3/18/2020,Djibouti,1,0,,
3/19/2020,Djibouti,1,0,,
3/20/2020,Djibouti,1,0,0,0
3/21/2020,Djibouti,1,0,N/A,N/A
3/22/2020,Djibouti,1,0,N/A,N/A
3/17/2020,Dominican Republic,21,1,,
3/18/2020,Dominican Republic,21,1,,
3/19/2020,Dominican Republic,34,2,,
3/20/2020,Dominican Republic,34,2,0,0
3/21/2020,Dominican Republic,72,2,N/A,N/A
3/22/2020,Dominican Republic,112,3,N/A,N/A
3/17/2020,DR Congo,3,0,,
3/18/2020,DR Congo,7,0,,
3/19/2020,DR Congo,14,0,,
3/20/2020,DR Congo,18,0,0,0
3/21/2020,DR Congo,23,1,N/A,N/A
3/22/2020,DR Congo,30,1,N/A,N/A
3/17/2020,Ecuador,58,2,,
3/18/2020,Ecuador,168,3,,
3/19/2020,Ecuador,168,3,,
3/20/2020,Ecuador,426,7,6,3
3/21/2020,Ecuador,532,7,6,3
3/22/2020,Ecuador,532,7,6,3
3/17/2020,Egypt,196,6,,26
3/18/2020,Egypt,196,6,,26
3/19/2020,Egypt,210,6,,28
3/20/2020,Egypt,256,7,0,28
3/21/2020,Egypt,294,10,N/A,41
3/22/2020,Egypt,294,10,N/A,41
3/18/2020,El Salvador,1,0,,
3/19/2020,El Salvador,1,0,,
3/20/2020,El Salvador,1,0,0,0
3/21/2020,El Salvador,3,0,N/A,N/A
3/22/2020,El Salvador,3,0,N/A,N/A
3/17/2020,Equatorial Guinea,1,0,,
3/18/2020,Equatorial Guinea,3,0,,
3/19/2020,Equatorial Guinea,3,0,,
3/20/2020,Equatorial Guinea,6,0,0,0
