Date,Country,Type,Cases
3/17/2020,Afghanistan,Confirmed,73
3/17/2020,Afghanistan,Deaths,0
3/17/2020,Afghanistan,Critical,
3/17/2020,Afghanistan,Recovered,
3/18/2020,Afghanistan,Confirmed,73
3/18/2020,Afghanistan,Deaths,0
3/18/2020,Afghanistan,Critical,
3/18/2020,Afghanistan,Recovered,1
3/19/2020,Afghanistan,Confirmed,22
3/19/2020,Afghanistan,Deaths,0
3/19/2020,Afghanistan,Critical,
3/19/2020,Afghanistan,Recovered,1
3/20/2020,Afghanistan,Confirmed,22
3/20/2020,Afghanistan,Deaths,0
3/20/2020,Afghanistan,Critical,0
3/20/2020,Afghanistan,Recovered,1
3/21/2020,Afghanistan,Confirmed,24
3/21/2020,Afghanistan,Deaths,0
3/21/2020,Afghanistan,Critical,N/A
3/21/2020,Afghanistan,Recovered,1
3/22/2020,Afghanistan,Confirmed,24
3/22/2020,Afghanistan,Deaths,0
3/22/2020,Afghanistan,Critical,N/A
3/22/2020,Afghanistan,Recovered,1
3/17/2020,Albania,Confirmed,51
3/17/2020,Albania,Deaths,1
3/17/2020,Albania,Critical,
3/17/2020,Albania,Recovered,0
3/18/2020,Albania,Confirmed,55
3/18/2020,Albania,Deaths,1
3/18/2020,Albania,Critical,
3/18/2020,Albania,Recovered,0
3/19/2020,Albania,Confirmed,59
3/19/2020,Albania,Deaths,2
3/19/2020,Albania,Critical,
3/19/2020,Albania,Recovered,0
3/20/2020,Albania,Confirmed,64
3/20/2020,Albania,Deaths,2
3/20/2020,Albania,Critical,3
3/20/2020,Albania,Recovered,0
3/21/2020,Albania,Confirmed,70
3/21/2020,Albania,Deaths,2
3/21/2020,Albania,Critical,3
3/21/2020,Albania,Recovered,0
3/22/2020,Albania,Confirmed,76
3/22/2020,Albania,Deaths,2
3/22/2020,Albania,Critical,3
3/22/2020,Albania,Recovered,0
3/17/2020,Algeria,Confirmed,60
3/17/2020,Algeria,Deaths,4
3/17/2020,Algeria,Critical,
3/17/2020,Algeria,Recovered,10
3/18/2020,Algeria,Confirmed,72
3/18/2020,Algeria,Deaths,6
3/18/2020,Algeria,Critical,
3/18/2020,Algeria,Recovered,10
3/19/2020,Algeria,Confirmed,82
3/19/2020,Algeria,Deaths,8
3/19/2020,Algeria,Critical,
3/19/2020,Algeria,Recovered,10
