Date,State,Confirmed,Deaths,Serious,Critical,Recovered
3/17/2020,Alabama,39,0,,,
3/18/2020,Alabama,51,0,,,
3/19/2020,Alabama,51,0,,,
3/17/2020,Alaska,3,0,,,
3/18/2020,Alaska,6,0,,,
3/19/2020,Alaska,6,0,,,
3/17/2020,American Samoa,0,0,,,
3/18/2020,American Samoa,0,0,,,
3/19/2020,American Samoa,0,0,,,
3/17/2020,Arizona,20,0,,,1
3/18/2020,Arizona,27,0,,,1
3/19/2020,Arizona,27,0,,,1
3/17/2020,Arkansas,22,0,,,
3/18/2020,Arkansas,22,0,,,
3/19/2020,Arkansas,22,0,,,
3/17/2020,California,636,11,,1,1
3/18/2020,California,723,13,,1,1
3/19/2020,California,723,13,,1,1
3/17/2020,Colorado,183,2,,,
3/18/2020,Colorado,216,2,,,
3/19/2020,Colorado,216,2,,,
3/17/2020,Connecticut,68,0,,,
3/18/2020,Connecticut,96,1,,,
3/19/2020,Connecticut,96,1,,,
3/17/2020,Delaware,16,0,,,
3/18/2020,Delaware,16,0,,,
3/19/2020,Delaware,16,0,,,
3/17/2020,Diamond Princess (repatriated),46,0,,,2
3/18/2020,Diamond Princess (repatriated),46,0,,,2
3/19/2020,Diamond Princess (repatriated),46,0,,,2
3/17/2020,District of Columbia,31,0,,,
3/18/2020,District of Columbia,31,0,,,
3/19/2020,District of Columbia,31,0,,,
3/17/2020,Florida,216,7,,,
3/18/2020,Florida,314,7,,,
3/19/2020,Florida,314,7,,,
3/17/2020,Georgia,146,1,,,
3/18/2020,Georgia,197,3,,,
3/19/2020,Georgia,197,3,,,
3/17/2020,Grand Princess,21,0,,,
3/18/2020,Grand Princess,21,0,,,
3/19/2020,Grand Princess,21,0,,,
3/17/2020,Guam,5,0,,,
3/18/2020,Guam,8,0,,,
3/19/2020,Guam,8,0,,,
3/17/2020,Hawaii,14,0,,,
3/18/2020,Hawaii,16,0,,,
3/19/2020,Hawaii,16,0,,,
3/17/2020,Idaho,9,0,,,
3/18/2020,Idaho,9,0,,,
3/19/2020,Idaho,9,0,,,
3/17/2020,Illinois,160,1,,,2
3/18/2020,Illinois,288,1,,,2
3/19/2020,Illinois,288,1,,,2
3/17/2020,Indiana,30,2,,,
3/18/2020,Indiana,30,2,,,
3/19/2020,Indiana,30,2,,,
3/17/2020,Iowa,29,0,,,
3/18/2020,Iowa,29,0,,,
3/19/2020,Iowa,29,0,,,
3/17/2020,Kansas,16,1,,,
3/18/2020,Kansas,16,1,,,
3/19/2020,Kansas,16,1,,,
