Date,State,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/17/20,Alabama,39,39,0,1.0,39,1.0,0,0,0,1.0,0,1.0,,0,0,0,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Alabama,51,12,39,2.3,25.5,2.3,0,0,0,,0,,,0,0,0,51,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Alabama,78,27,12,1.3,19.5,1.8,0,0,0,,0,,,0,0,0,78,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Alabama,106,28,27,2.0,27.5,2.0,0,0,0,,0,,,0,0,0,106,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Alabama,131,25,28,3.0,26.5,2.8,0,0,0,,0,,,0,0,0,131,5,5,2,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Alabama,138,7,25,13.1,16,5.7,0,0,0,,,,,0,0,0,138,6,6,3,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Alaska,3,3,0,1.0,3,1.0,0,0,0,1.0,0,1.0,,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Alaska,6,3,3,0.7,3,0.7,0,0,0,,0,,,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Alaska,6,0,3,,1.5,2.8,0,0,0,,0,,,0,0,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Alaska,12,6,0,0.7,3,1.4,0,0,0,,0,,,0,0,0,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Alaska,14,2,6,4.2,4,2.1,0,0,0,,0,,,0,0,0,14,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1
