Date,StateCode,PositiveTests,NegativeTests,PendingTests,TotalTests,TestCheckTime
43911,AK,22,946,,968,3/23 02:06
43912,AL,157,1464,,1621,3/23 02:06
43912,AR,165,711,0,876,3/23 02:12
43909,AS,,,,0,3/22 16:00
43912,AZ,152,282,87,521,3/23 02:14
43912,CA,1536,11304,,12840,3/22 14:41
43912,CO,591,4845,,5436,3/23 02:11
43912,CT,327,3273,,3600,3/23 01:11
43912,DC,116,1113,,1229,3/23 01:12
43912,DE,56,36,,92,3/22 16:52
3/23/2020,FL,1007,9330,933,11270,3/23 00:11
43912,GA,620,3420,,4040,3/23 01:22
43912,GU,27,126,,153,3/23 02:25
43912,HI,56,2955,,3011,3/23 02:25
43912,IA,90,1215,,1305,3/22 16:31
43911,ID,47,1309,,1356,3/23 01:27
43912,IL,1058,7271,,8329,3/22 16:34
43903,IN,201,1293,,1494,3/22 16:35
43911,KS,64,417,,481,3/22 16:37
43912,KY,99,1472,,1571,3/22 16:38
43912,LA,837,2661,,3498,3/22 16:38
43912,MA,646,5482,,6128,3/22 16:56
43912,MD,244,94,,338,3/22 16:40
43912,ME,89,2264,,2353,3/23 02:30
43912,MI,1035,2069,,3104,3/22 16:19
43912,MN,169,4511,,4680,3/23 01:36
43912,MO,106,369,,475,3/23 01:44
3/23/2020,MP,0,,,0,3/23 02:04
43912,MS,207,1114,,1321,3/23 02:04
43912,MT,34,1146,,1180,3/23 02:03
43912,NC,255,6183,,6438,3/22 16:44
43912,ND,28,1260,,1288,3/22 15:41
43911,NE,50,356,,406,3/23 02:32
43912,NH,78,1374,889,2341,3/23 01:56
43912,NJ,1914,327,49,2290,3/22 16:43
43912,NM,65,5321,,5386,3/23 02:34
43911,NV,190,2448,,2638,3/23 01:50
43912,NY,15168,46233,,61401,3/22 15:15
43910,OH,351,140,,491,3/22 16:13
43912,OK,67,669,102,838,3/22 15:38
43912,OR,161,2864,,3025,3/22 15:53
43912,PA,479,4964,,5443,3/22 16:14
43912,PR,23,183,69,275,3/23 01:43
43912,RI,83,932,216,1231,3/22 15:45
43912,SC,195,1466,,1661,3/22 16:10
43912,SD,21,740,277,1038,3/22 16:11
43912,TN,505,3272,,3777,3/23 01:30
43911,TX,334,8422,,8756,3/23 01:19
43912,UT,181,3508,,3689,3/22 15:40
43912,VA,219,3118,,3337,3/23 01:09
43912,VI,17,,,17,3/23 01:07
43912,VT,52,1106,,1158,3/23 02:34
43912,WA,1996,28879,,30875,3/23 01:05
43912,WI,385,6230,,6615,3/23 01:04
43912,WV,16,444,4,464,3/23 00:58
43912,WY,26,458,,484,3/23 01:39
