Date,DateUpdated,StateCode,State,TotalTests,TestsPer10K,NewTests,PendingChange,PositiveTests,NewPositiveTests,NegativeTests,NewNegativeTests,PendingTests,TestCheckTime
3/22/2020,3/21/2020,AK,Alaska,968,13.232268691605,968,,22,22,946,946,,3/22 16:49
3/22/2020,3/22/2020,AL,Alabama,1602,3.2672640334803,1602,,138,138,1464,1464,,3/22 16:00
3/22/2020,3/22/2020,AR,Arkansas,995,3.2970765369099,995,119,165,165,711,711,119,3/22 15:15
3/22/2020,3/19/2020,AS,AS,0,,0,,,,,,,3/22 16:00
3/22/2020,3/22/2020,AZ,Arizona,521,0.71578548801939,521,87,152,152,282,282,87,3/22 16:01
3/22/2020,3/22/2020,CA,California,12840,3.249627336837,12840,,1536,1536,11304,11304,,3/22 14:41
3/22/2020,3/21/2020,CO,Colorado,4550,7.9010393947561,4550,,475,475,4075,4075,,3/22 16:02
3/22/2020,3/21/2020,CT,Connecticut,3100,8.6949521875799,3100,,223,223,2877,2877,,3/22 16:51
3/22/2020,3/21/2020,DC,District of Columbia,1055,14.948657383857,1055,,98,98,957,957,,3/22 16:23
3/22/2020,3/22/2020,DE,Delaware,92,0.9447874433641,92,,56,56,36,36,,3/22 16:52
3/22/2020,3/22/2020,FL,Florida,9783,4.554949155025,9783,963,830,830,7990,7990,963,3/22 16:26
3/22/2020,3/22/2020,GA,Georgia,4020,3.786229483369,4020,,600,600,3420,3420,,3/22 16:28
3/22/2020,3/22/2020,GU,GU,153,,153,,27,27,126,126,,3/22 16:28
3/22/2020,3/21/2020,HI,Hawaii,311,2.1965262396601,311,,48,48,263,263,,3/22 16:29
3/22/2020,3/22/2020,IA,Iowa,1305,4.1361998307486,1305,,90,90,1215,1215,,3/22 16:31
3/22/2020,3/21/2020,ID,Idaho,1217,6.7910483157698,1217,,42,42,1175,1175,,3/22 16:32
3/22/2020,3/22/2020,IL,Illinois,8329,6.5728516840634,8329,,1058,1058,7271,7271,,3/22 16:34
3/22/2020,3/13/2020,IN,Indiana,1494,2.2191791443505,1494,,201,201,1293,1293,,3/22 16:35
3/22/2020,3/21/2020,KS,Kansas,481,1.6510407048468,481,,64,64,417,417,,3/22 16:37
3/22/2020,3/22/2020,KY,Kentucky,1571,3.5163719457534,1571,,99,99,1472,1472,,3/22 16:38
3/22/2020,3/22/2020,LA,Louisiana,3498,7.5245321689883,3498,,837,837,2661,2661,,3/22 16:38
3/22/2020,3/22/2020,MA,Massachusetts,6128,8.817896761826,6128,,646,646,5482,5482,,3/22 16:56
3/22/2020,3/22/2020,MD,Maryland,338,0.55907689457596,338,,244,244,94,94,,3/22 16:40
3/22/2020,3/22/2020,ME,Maine,2353,17.504679321417,2353,,89,89,2264,2264,,3/22 16:48
3/22/2020,3/22/2020,MI,Michigan,3104,3.1080849560577,3104,,1035,1035,2069,2069,,3/22 16:19
3/22/2020,3/21/2020,MN,Minnesota,4680,8.2984137972123,4680,,169,169,4511,4511,,3/22 16:47
3/22/2020,3/21/2020,MO,Missouri,459,0.7478702805149,459,,90,90,369,369,,3/22 15:38
3/22/2020,3/22/2020,MP,MP,0,,0,,0,0,,,,3/22 16:46
3/22/2020,3/22/2020,MS,Mississippi,1321,4.4386218566342,1321,,207,207,1114,1114,,3/22 15:30
3/22/2020,3/22/2020,MT,Montana,1177,11.012576980439,1177,,31,31,1146,1146,,3/22 16:45
3/22/2020,3/22/2020,NC,North Carolina,6438,6.1383947725819,6438,,255,255,6183,6183,,3/22 16:44
