Date,Country/Region,Province/State,Lat,Long,ConfirmedToDate,NewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000
1/22/20,Afghanistan,,33,65,0,0,1.0,0,1.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/24/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/25/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/26/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/27/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/28/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/29/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/30/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/31/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/1/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/2/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/3/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/4/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/5/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/6/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/7/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/8/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/9/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/10/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/11/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/12/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/13/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/14/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/15/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/16/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/17/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/18/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/19/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/20/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/21/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/22/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/23/20,Afghanistan,,33,65,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/24/20,Afghanistan,,33,65,1,1,,0.5,,0,0,,0,,0,1,1,0,0,0,0,0,0,0,0,0
2/25/20,Afghanistan,,33,65,1,0,,0.5,1.4,0,0,,0,,0,1,2,0,0,0,0,0,0,0,0,0
2/26/20,Afghanistan,,33,65,1,0,,0,,0,0,,0,,0,1,3,0,0,0,0,0,0,0,0,0
2/27/20,Afghanistan,,33,65,1,0,,0,,0,0,,0,,0,1,4,0,0,0,0,0,0,0,0,0
2/28/20,Afghanistan,,33,65,1,0,,0,,0,0,,0,,0,1,5,0,0,0,0,0,0,0,0,0
2/29/20,Afghanistan,,33,65,1,0,,0,,0,0,,0,,0,1,6,0,0,0,0,0,0,0,0,0
3/1/20,Afghanistan,,33,65,1,0,,0,,0,0,,0,,0,1,7,0,0,0,0,0,0,0,0,0
3/2/20,Afghanistan,,33,65,1,0,,0,,0,0,,0,,0,1,8,0,0,0,0,0,0,0,0,0
3/3/20,Afghanistan,,33,65,1,0,,0,,0,0,,0,,0,1,9,0,0,0,0,0,0,0,0,0
3/4/20,Afghanistan,,33,65,1,0,,0,,0,0,,0,,0,1,10,0,0,0,0,0,0,0,0,0
3/5/20,Afghanistan,,33,65,1,0,,0,,0,0,,0,,0,1,11,0,0,0,0,0,0,0,0,0
3/6/20,Afghanistan,,33,65,1,0,,0,,0,0,,0,,0,1,12,0,0,0,0,0,0,0,0,0
3/7/20,Afghanistan,,33,65,1,0,,0,,0,0,,0,,0,1,13,0,0,0,0,0,0,0,0,0
3/8/20,Afghanistan,,33,65,4,3,,1.5,,0,0,,0,,0,4,14,0,0,0,0,0,0,0,0,0
3/9/20,Afghanistan,,33,65,4,0,,1.5,1.4,0,0,,0,,0,4,15,0,0,0,0,0,0,0,0,0
3/10/20,Afghanistan,,33,65,5,1,,0.5,,0,0,,0,,0,5,16,1,0,0,0,0,0,0,0,0
3/11/20,Afghanistan,,33,65,7,2,0.3,1.5,0.5,0,0,,0,,0,7,17,2,0,0,0,0,0,0,0,0
3/12/20,Afghanistan,,33,65,7,0,,1,1.4,0,0,,0,,0,7,18,3,0,0,0,0,0,0,0,0
3/13/20,Afghanistan,,33,65,7,0,,0,,0,0,,0,,0,7,19,4,0,0,0,0,0,0,0,0
3/14/20,Afghanistan,,33,65,11,4,,2,,0,0,,0,,0,11,20,5,0,0,0,0,0,0,0,0
3/15/20,Afghanistan,,33,65,16,5,0.6,4.5,0.6,0,0,,0,,0,16,21,6,0,0,0,0,0,0,0,0
3/16/20,Afghanistan,,33,65,21,5,0.7,5,0.7,0,0,,0,,1,20,22,7,0,0,0,0,0,0,0,0
3/17/20,Afghanistan,,33,65,22,1,3.5,3,1.2,0,0,,0,,1,21,23,8,0,0,0,0,0,0,0,0
3/18/20,Afghanistan,,33,65,22,0,,0.5,1.4,0,0,,0,,1,21,24,9,0,0,0,0,0,0,0,0
1/22/20,Albania,,41.1533,20.1683,0,0,1.0,0,1.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/24/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/25/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/26/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/27/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/28/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/29/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/30/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1/31/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/1/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/2/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/3/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/4/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/5/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/6/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/7/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/8/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/9/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/10/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/11/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/12/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/13/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/14/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/15/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/16/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/17/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/18/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/19/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/20/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/21/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/22/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/23/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/24/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/25/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/26/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/27/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/28/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2/29/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/1/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/2/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/3/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/4/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/5/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/6/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/7/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/8/20,Albania,,41.1533,20.1683,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/9/20,Albania,,41.1533,20.1683,2,2,,1,,0,0,,0,,0,2,1,0,0,0,0,0,0,0,0,0
3/10/20,Albania,,41.1533,20.1683,10,8,0.2,5,0.3,0,0,,0,,0,10,2,1,0,0,0,0,0,0,0,0
3/11/20,Albania,,41.1533,20.1683,12,2,2.8,5,1.1,1,1,,0.5,,0,11,3,2,0,0,0,1,0,0,0,0
3/12/20,Albania,,41.1533,20.1683,23,11,0.1,6.5,0.2,1,0,,0.5,1.4,0,22,4,3,0,0,0,2,0,0,0,0
3/13/20,Albania,,41.1533,20.1683,33,10,0.8,10.5,0.7,1,0,,0,,0,32,5,4,0,0,0,3,0,0,0,0
3/14/20,Albania,,41.1533,20.1683,38,5,1.4,7.5,0.9,1,0,,0,,0,37,6,5,0,0,0,4,0,0,0,0
3/15/20,Albania,,41.1533,20.1683,42,4,0.9,4.5,0.8,1,0,,0,,0,41,7,6,0,0,0,5,0,0,0,0
3/16/20,Albania,,41.1533,20.1683,51,9,0.3,6.5,0.4,1,0,,0,,0,50,8,7,0,0,0,6,0,0,0,0
3/17/20,Albania,,41.1533,20.1683,55,4,1.6,6.5,1.0,1,0,,0,,0,54,9,8,0,0,0,7,0,0,0,0
3/18/20,Albania,,41.1533,20.1683,59,4,0.7,4,0.7,2,1,,0.5,,0,57,10,9,0,0,0,8,0,0,0,0
