Country/Region,Province/State,Lat,Long,date,type,cases
Afghanistan,,33,65,1/22/20,confirmed,0
Afghanistan,,33,65,1/22/20,death,0
Afghanistan,,33,65,1/22/20,recovered,0
Afghanistan,,33,65,1/23/20,confirmed,0
Afghanistan,,33,65,1/23/20,death,0
Afghanistan,,33,65,1/23/20,recovered,0
Afghanistan,,33,65,1/24/20,confirmed,0
Afghanistan,,33,65,1/24/20,death,0
Afghanistan,,33,65,1/24/20,recovered,0
Afghanistan,,33,65,1/25/20,confirmed,0
Afghanistan,,33,65,1/25/20,death,0
Afghanistan,,33,65,1/25/20,recovered,0
Afghanistan,,33,65,1/26/20,confirmed,0
Afghanistan,,33,65,1/26/20,death,0
Afghanistan,,33,65,1/26/20,recovered,0
Afghanistan,,33,65,1/27/20,confirmed,0
Afghanistan,,33,65,1/27/20,death,0
Afghanistan,,33,65,1/27/20,recovered,0
Afghanistan,,33,65,1/28/20,confirmed,0
Afghanistan,,33,65,1/28/20,death,0
Afghanistan,,33,65,1/28/20,recovered,0
Afghanistan,,33,65,1/29/20,confirmed,0
Afghanistan,,33,65,1/29/20,death,0
Afghanistan,,33,65,1/29/20,recovered,0
Afghanistan,,33,65,1/30/20,confirmed,0
Afghanistan,,33,65,1/30/20,death,0
Afghanistan,,33,65,1/30/20,recovered,0
Afghanistan,,33,65,1/31/20,confirmed,0
Afghanistan,,33,65,1/31/20,death,0
Afghanistan,,33,65,1/31/20,recovered,0
Afghanistan,,33,65,2/1/20,confirmed,0
Afghanistan,,33,65,2/1/20,death,0
Afghanistan,,33,65,2/1/20,recovered,0
Afghanistan,,33,65,2/2/20,confirmed,0
Afghanistan,,33,65,2/2/20,death,0
Afghanistan,,33,65,2/2/20,recovered,0
Afghanistan,,33,65,2/3/20,confirmed,0
Afghanistan,,33,65,2/3/20,death,0
Afghanistan,,33,65,2/3/20,recovered,0
Afghanistan,,33,65,2/4/20,confirmed,0
Afghanistan,,33,65,2/4/20,death,0
Afghanistan,,33,65,2/4/20,recovered,0
Afghanistan,,33,65,2/5/20,confirmed,0
Afghanistan,,33,65,2/5/20,death,0
Afghanistan,,33,65,2/5/20,recovered,0
Afghanistan,,33,65,2/6/20,confirmed,0
Afghanistan,,33,65,2/6/20,death,0
Afghanistan,,33,65,2/6/20,recovered,0
Afghanistan,,33,65,2/7/20,confirmed,0
Afghanistan,,33,65,2/7/20,death,0
Afghanistan,,33,65,2/7/20,recovered,0
Afghanistan,,33,65,2/8/20,confirmed,0
Afghanistan,,33,65,2/8/20,death,0
Afghanistan,,33,65,2/8/20,recovered,0
Afghanistan,,33,65,2/9/20,confirmed,0
Afghanistan,,33,65,2/9/20,death,0
Afghanistan,,33,65,2/9/20,recovered,0
Afghanistan,,33,65,2/10/20,confirmed,0
Afghanistan,,33,65,2/10/20,death,0
Afghanistan,,33,65,2/10/20,recovered,0
