Country/Region,Province/State,Lat,Long,Date,Type,Cases
Afghanistan,,33,65,1/22/20,Confirmed,0
Afghanistan,,33,65,1/22/20,Recovered,0
Afghanistan,,33,65,1/22/20,Deaths,0
Afghanistan,,33,65,1/23/20,Confirmed,0
Afghanistan,,33,65,1/23/20,Recovered,0
Afghanistan,,33,65,1/23/20,Deaths,0
Afghanistan,,33,65,1/24/20,Confirmed,0
Afghanistan,,33,65,1/24/20,Recovered,0
Afghanistan,,33,65,1/24/20,Deaths,0
Afghanistan,,33,65,1/25/20,Confirmed,0
Afghanistan,,33,65,1/25/20,Recovered,0
Afghanistan,,33,65,1/25/20,Deaths,0
Afghanistan,,33,65,1/26/20,Confirmed,0
Afghanistan,,33,65,1/26/20,Recovered,0
Afghanistan,,33,65,1/26/20,Deaths,0
Afghanistan,,33,65,1/27/20,Confirmed,0
Afghanistan,,33,65,1/27/20,Recovered,0
Afghanistan,,33,65,1/27/20,Deaths,0
Afghanistan,,33,65,1/28/20,Confirmed,0
Afghanistan,,33,65,1/28/20,Recovered,0
Afghanistan,,33,65,1/28/20,Deaths,0
Afghanistan,,33,65,1/29/20,Confirmed,0
Afghanistan,,33,65,1/29/20,Recovered,0
Afghanistan,,33,65,1/29/20,Deaths,0
Afghanistan,,33,65,1/30/20,Confirmed,0
Afghanistan,,33,65,1/30/20,Recovered,0
Afghanistan,,33,65,1/30/20,Deaths,0
Afghanistan,,33,65,1/31/20,Confirmed,0
Afghanistan,,33,65,1/31/20,Recovered,0
Afghanistan,,33,65,1/31/20,Deaths,0
Afghanistan,,33,65,2/1/20,Confirmed,0
Afghanistan,,33,65,2/1/20,Recovered,0
Afghanistan,,33,65,2/1/20,Deaths,0
Afghanistan,,33,65,2/2/20,Confirmed,0
Afghanistan,,33,65,2/2/20,Recovered,0
Afghanistan,,33,65,2/2/20,Deaths,0
Afghanistan,,33,65,2/3/20,Confirmed,0
Afghanistan,,33,65,2/3/20,Recovered,0
Afghanistan,,33,65,2/3/20,Deaths,0
Afghanistan,,33,65,2/4/20,Confirmed,0
