Date,Country,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000
3/17/20,Afghanistan,21,21,0,1.0,21,1.0,0,0,0,1.0,0,1.0,1,20,1,1,0,0,0,0,0,0,0,0
3/18/20,Afghanistan,22,1,21,14.0,11,14.0,0,0,0,,0,,,22,2,2,0,0,0,0,0,0,0,0
3/19/2020,Afghanistan,22,0,1,,0.5,30.8,0,0,0,,0,,1,21,3,3,0,0,0,0,0,0,0,0
3/20/2020,Afghanistan,24,2,0,7.3,1,14.7,0,0,0,,0,,1,23,4,4,0,0,0,0,0,0,0,0
3/21/2020,Afghanistan,24,0,2,,1,16.1,0,0,0,,0,,1,23,5,5,0,0,0,0,0,0,0,0
3/22/2020,Afghanistan,34,10,0,1.6,5,3.2,1,1,0,,0.5,,1,32,6,6,0,0,0,1,0,0,0,0
3/17/20,Albania,55,55,0,1.0,55,1.0,1,1,0,1.0,1,1.0,0,54,1,1,0,0,0,1,0,0,0,0
3/18/20,Albania,59,4,55,9.5,29.5,9.5,2,1,1,0.7,1,0.7,,57,2,2,0,0,0,2,0,0,0,0
3/19/2020,Albania,64,5,4,8.0,4.5,8.9,2,0,1,,0.5,2.8,0,62,3,3,0,0,0,3,0,0,0,0
3/20/2020,Albania,70,6,5,7.2,5.5,7.9,2,0,0,,0,,2,66,4,4,0,0,0,4,0,0,0,0
3/21/2020,Albania,76,6,6,7.7,6,7.7,2,0,0,,0,,2,72,5,5,0,0,0,5,0,0,0,0
3/22/2020,Albania,89,13,6,3.9,9.5,5.3,2,0,0,,,,3,84,6,6,0,0,0,6,0,0,0,0
3/17/20,Algeria,61,61,0,1.0,61,1.0,5,5,0,1.0,5,1.0,10,46,1,1,0,0,0,1,1,0,0,0
3/18/20,Algeria,75,14,61,2.3,37.5,2.3,7,2,5,1.8,3.5,1.8,,68,2,2,0,0,0,2,2,0,0,0
3/19/2020,Algeria,90,15,14,3.2,14.5,3.3,9,2,2,2.5,2,2.5,32,49,3,3,0,0,0,3,3,0,0,0
3/20/2020,Algeria,94,4,15,8.6,9.5,3.6,11,2,2,3.1,2,3.1,32,51,4,4,0,0,0,4,4,0,0,0
3/21/2020,Algeria,139,45,4,0.8,24.5,1.5,15,4,2,1.9,3,2.6,65,59,5,5,1,0,0,5,5,0,0,0
