Date,Country,Type,Cases
3/17/20,Afghanistan,Confirmed,21
3/17/20,Afghanistan,Deaths,0
3/17/20,Afghanistan,Recovered,1
3/18/20,Afghanistan,Confirmed,22
3/18/20,Afghanistan,Deaths,0
3/18/20,Afghanistan,Recovered,
3/19/2020,Afghanistan,Confirmed,22
3/19/2020,Afghanistan,Deaths,0
3/19/2020,Afghanistan,Recovered,1
3/20/2020,Afghanistan,Confirmed,24
3/20/2020,Afghanistan,Deaths,0
3/20/2020,Afghanistan,Recovered,1
3/21/2020,Afghanistan,Confirmed,24
3/21/2020,Afghanistan,Deaths,0
3/21/2020,Afghanistan,Recovered,1
3/22/2020,Afghanistan,Confirmed,34
3/22/2020,Afghanistan,Deaths,1
3/22/2020,Afghanistan,Recovered,1
3/17/20,Albania,Confirmed,55
3/17/20,Albania,Deaths,1
3/17/20,Albania,Recovered,0
3/18/20,Albania,Confirmed,59
3/18/20,Albania,Deaths,2
3/18/20,Albania,Recovered,
3/19/2020,Albania,Confirmed,64
3/19/2020,Albania,Deaths,2
3/19/2020,Albania,Recovered,0
3/20/2020,Albania,Confirmed,70
3/20/2020,Albania,Deaths,2
3/20/2020,Albania,Recovered,2
3/21/2020,Albania,Confirmed,76
3/21/2020,Albania,Deaths,2
3/21/2020,Albania,Recovered,2
3/22/2020,Albania,Confirmed,89
3/22/2020,Albania,Deaths,2
3/22/2020,Albania,Recovered,3
3/17/20,Algeria,Confirmed,61
3/17/20,Algeria,Deaths,5
3/17/20,Algeria,Recovered,10
3/18/20,Algeria,Confirmed,75
3/18/20,Algeria,Deaths,7
3/18/20,Algeria,Recovered,
3/19/2020,Algeria,Confirmed,90
3/19/2020,Algeria,Deaths,9
3/19/2020,Algeria,Recovered,32
3/20/2020,Algeria,Confirmed,94
3/20/2020,Algeria,Deaths,11
3/20/2020,Algeria,Recovered,32
3/21/2020,Algeria,Confirmed,139
3/21/2020,Algeria,Deaths,15
3/21/2020,Algeria,Recovered,65
3/22/2020,Algeria,Confirmed,139
3/22/2020,Algeria,Deaths,15
3/22/2020,Algeria,Recovered,65
3/17/20,Andorra,Confirmed,14
3/17/20,Andorra,Deaths,0
3/17/20,Andorra,Recovered,0
3/18/20,Andorra,Confirmed,53
3/18/20,Andorra,Deaths,0
3/18/20,Andorra,Recovered,
3/19/2020,Andorra,Confirmed,74
3/19/2020,Andorra,Deaths,0
3/19/2020,Andorra,Recovered,1
3/20/2020,Andorra,Confirmed,75
3/20/2020,Andorra,Deaths,0
3/20/2020,Andorra,Recovered,1
3/21/2020,Andorra,Confirmed,88
3/21/2020,Andorra,Deaths,0
3/21/2020,Andorra,Recovered,1
3/22/2020,Andorra,Confirmed,112
3/22/2020,Andorra,Deaths,1
3/22/2020,Andorra,Recovered,1
3/21/2020,Angola,Confirmed,2
3/21/2020,Angola,Deaths,0
3/21/2020,Angola,Recovered,0
3/22/2020,Angola,Confirmed,2
3/22/2020,Angola,Deaths,0
3/22/2020,Angola,Recovered,0
3/17/20,Antigua and Barbuda,Confirmed,1
3/17/20,Antigua and Barbuda,Deaths,0
3/17/20,Antigua and Barbuda,Recovered,0
3/18/20,Antigua and Barbuda,Confirmed,1
3/18/20,Antigua and Barbuda,Deaths,0
3/18/20,Antigua and Barbuda,Recovered,
3/19/2020,Antigua and Barbuda,Confirmed,1
3/19/2020,Antigua and Barbuda,Deaths,0
3/19/2020,Antigua and Barbuda,Recovered,0
3/20/2020,Antigua and Barbuda,Confirmed,1
3/20/2020,Antigua and Barbuda,Deaths,0
3/20/2020,Antigua and Barbuda,Recovered,0
3/21/2020,Antigua and Barbuda,Confirmed,1
3/21/2020,Antigua and Barbuda,Deaths,0
3/21/2020,Antigua and Barbuda,Recovered,0
3/22/2020,Antigua and Barbuda,Confirmed,1
3/22/2020,Antigua and Barbuda,Deaths,0
3/22/2020,Antigua and Barbuda,Recovered,0
3/17/20,Argentina,Confirmed,79
3/17/20,Argentina,Deaths,2
3/17/20,Argentina,Recovered,3
3/18/20,Argentina,Confirmed,97
3/18/20,Argentina,Deaths,2
3/18/20,Argentina,Recovered,
3/19/2020,Argentina,Confirmed,97
3/19/2020,Argentina,Deaths,3
3/19/2020,Argentina,Recovered,3
3/20/2020,Argentina,Confirmed,158
3/20/2020,Argentina,Deaths,3
3/20/2020,Argentina,Recovered,3
3/21/2020,Argentina,Confirmed,225
