Date,State,Confirmed,Deaths,Recovered
3/17/20,Alabama,39,0,0
3/18/20,Alabama,51,0,0
3/19/2020,Alabama,52,0,0
3/17/20,Alaska,3,0,0
3/18/20,Alaska,6,0,0
3/19/2020,Alaska,9,0,0
3/17/20,American Samoa,0,0,0
3/18/20,American Samoa,0,0,0
3/19/2020,American Samoa,0,0,0
3/17/20,Arizona,13,0,1
3/18/20,Arizona,27,0,1
3/19/2020,Arizona,27,0,1
3/17/20,Arkansas,22,0,0
3/18/20,Arkansas,30,0,0
3/19/2020,Arkansas,37,0,0
3/17/20,California,454,12,6
3/18/20,California,785,16,6
3/19/2020,California,870,16,6
3/17/20,Colorado,160,1,0
3/18/20,Colorado,216,2,0
3/19/2020,Colorado,221,2,0
3/17/20,Connecticut,68,0,0
3/18/20,Connecticut,97,1,0
3/19/2020,Connecticut,97,2,0
3/17/20,Delaware,8,0,0
3/18/20,Delaware,26,0,0
3/19/2020,Delaware,26,0,0
3/17/20,District of Columbia,22,0,0
3/18/20,District of Columbia,31,0,0
3/19/2020,District of Columbia,40,0,0
3/17/20,Florida,173,6,0
3/18/20,Florida,317,7,0
3/19/2020,Florida,330,8,1
3/17/20,Georgia,146,1,0
3/18/20,Georgia,199,1,0
3/19/2020,Georgia,199,4,0
3/17/20,Guam,3,0,0
3/18/20,Guam,3,0,0
3/19/2020,Guam,3,0,0
3/17/20,Hawaii,4,0,0
3/18/20,Hawaii,14,0,0
3/19/2020,Hawaii,16,0,0
3/17/20,Idaho,5,0,0
3/18/20,Idaho,9,0,0
3/19/2020,Idaho,11,0,0
3/17/20,Illinois,166,1,2
3/18/20,Illinois,288,1,2
3/19/2020,Illinois,290,1,2
3/17/20,Indiana,30,2,0
3/18/20,Indiana,39,2,0
3/19/2020,Indiana,39,2,0
3/17/20,Iowa,17,0,0
3/18/20,Iowa,38,0,0
3/19/2020,Iowa,39,0,0
3/17/20,Kansas,16,1,0
3/18/20,Kansas,18,1,0
3/19/2020,Kansas,22,1,0
3/17/20,Kentucky,25,1,1
3/18/20,Kentucky,27,1,0
3/19/2020,Kentucky,35,1,1
3/17/20,Louisiana,171,4,0
3/18/20,Louisiana,280,7,0
3/19/2020,Louisiana,280,7,0
3/17/20,Maine,3,0,0
3/18/20,Maine,43,0,0
3/19/2020,Maine,43,0,0
3/17/20,Maryland,57,0,3
3/18/20,Maryland,85,0,4
3/19/2020,Maryland,85,0,4
3/17/20,Massachusetts,197,0,1
3/18/20,Massachusetts,218,0,1
3/19/2020,Massachusetts,256,0,1
3/17/20,Michigan,65,0,0
3/18/20,Michigan,111,1,0
3/19/2020,Michigan,119,1,0
3/17/20,Minnesota,60,0,0
3/18/20,Minnesota,77,0,0
3/19/2020,Minnesota,77,0,0
3/17/20,Mississippi,21,0,0
3/18/20,Mississippi,36,0,0
3/19/2020,Mississippi,36,0,0
3/17/20,Missouri,15,0,0
3/18/20,Missouri,18,0,0
3/19/2020,Missouri,24,1,0
3/17/20,Montana,4,0,0
3/18/20,Montana,11,0,0
3/19/2020,Montana,11,0,0
3/17/20,N. Mariana Islands,0,0,0
3/18/20,N. Mariana Islands,0,0,0
3/19/2020,N. Mariana Islands,0,0,0
3/17/20,Nebraska,14,0,0
3/18/20,Nebraska,24,0,0
3/19/2020,Nebraska,29,0,0
3/17/20,Nevada,19,0,0
3/18/20,Nevada,55,1,0
3/19/2020,Nevada,84,1,0
3/17/20,New Hampshire,7,0,0
3/18/20,New Hampshire,26,0,0
3/19/2020,New Hampshire,39,0,0
3/17/20,New Jersey,178,3,1
3/18/20,New Jersey,427,5,1
3/19/2020,New Jersey,427,5,1
3/17/20,New Mexico,10,0,0
3/18/20,New Mexico,28,0,0
3/19/2020,New Mexico,28,0,0
3/17/20,New York,"1,374",12,0
3/18/20,New York,2481,16,1
3/19/2020,New York,"3,083",20,1
3/17/20,North Carolina,40,0,0
3/18/20,North Carolina,71,0,0
3/19/2020,North Carolina,93,0,0
3/17/20,North Dakota,1,0,0
3/18/20,North Dakota,6,0,0
3/19/2020,North Dakota,7,0,0
3/17/20,Ohio,67,0,0
3/18/20,Ohio,88,0,0
3/19/2020,Ohio,89,0,0
3/17/20,Oklahoma,17,0,0
3/18/20,Oklahoma,31,0,0
