Date,Key,Confirmed,Deaths,Recovered
3/19/2020,PA-Adams,1,0,-
3/19/2020,PA-Allegheny,16,0,-
3/19/2020,PA-Beaver,2,0,-
3/19/2020,PA-Berks,1,0,-
3/19/2020,PA-Bucks,12,0,-
3/19/2020,PA-Chester,10,0,-
3/19/2020,PA-Cumberland,11,0,-
3/19/2020,PA-Delaware,14,0,-
3/19/2020,PA-Lackawanna,2,0,-
3/19/2020,PA-Lancaster,2,0,-
3/19/2020,PA-Lebanon,1,0,-
3/19/2020,PA-Lehigh,1,0,-
3/19/2020,PA-Luzerne,1,0,-
3/19/2020,PA-Monroe,15,0,-
3/19/2020,PA-Montgomery,47,0,-
3/19/2020,PA-Northampton,5,1,-
3/19/2020,PA-Philadelphia,33,0,-
3/19/2020,PA-Pike,3,0,-
3/19/2020,PA-Washington,3,0,-
3/19/2020,PA-Wayne,1,0,-
3/19/2020,PA-Westmoreland,2,0,-
3/19/2020,PA-York,2,0,-
3/19/2020,PA-Adams,1,0,-
3/19/2020,PA-Allegheny,16,0,-
3/19/2020,PA-Beaver,2,0,-
3/19/2020,PA-Berks,1,0,-
3/19/2020,PA-Bucks,12,0,-
3/19/2020,PA-Chester,10,0,-
3/19/2020,PA-Cumberland,11,0,-
3/19/2020,PA-Delaware,14,0,-
3/19/2020,PA-Lackawanna,2,0,-
3/19/2020,PA-Lancaster,2,0,-
3/19/2020,PA-Lebanon,1,0,-
3/19/2020,PA-Lehigh,1,0,-
3/19/2020,PA-Luzerne,1,0,-
3/19/2020,PA-Monroe,15,0,-
3/19/2020,PA-Montgomery,47,0,-
3/19/2020,PA-Northampton,5,1,-
3/19/2020,PA-Philadelphia,33,0,-
3/19/2020,PA-Pike,3,0,-
3/19/2020,PA-Washington,3,0,-
3/19/2020,PA-Wayne,1,0,-
3/19/2020,PA-Westmoreland,2,0,-
3/19/2020,PA-York,2,0,-
3/19/2020,NJ-Atlantic,3,0,0
3/19/2020,NJ-Bergen,195,2,1
3/19/2020,NJ-Burlington,14,0,0
3/19/2020,NJ-Camden,13,0,0
3/19/2020,NJ-Cape May,1,0,0
3/19/2020,NJ-Essex,63,0,0
3/19/2020,NJ-Gloucester,3,0,0
3/19/2020,NJ-Hudson,55,0,0
3/19/2020,NJ-Hunterdon,8,0,0
3/19/2020,NJ-Mercer,20,0,0
3/19/2020,NJ-Middlesex,64,0,0
3/19/2020,NJ-Monmouth,43,1,0
3/19/2020,NJ-Morris,26,0,0
3/19/2020,NJ-Ocean,33,0,0
3/19/2020,NJ-Passaic,18,0,0
3/19/2020,NJ-Somerset,21,0,0
3/19/2020,NJ-Union,29,0,0
3/19/2020,NJ-Warren,3,0,1
3/19/2020,NJ-Under Investigation,118,6,0
3/19/2020,NY-Albany,43,0,-
3/19/2020,NY-Allegany,2,0,-
3/19/2020,NY-Broome,2,0,-
3/19/2020,NY-Chenango,2,0,-
3/19/2020,NY-Clinton,2,0,-
3/19/2020,NY-Delaware,1,0,-
3/19/2020,NY-Dutchess,31,0,-
3/19/2020,NY-Erie,28,0,-
3/19/2020,NY-Essex,1,0,-
3/19/2020,NY-Fulton,1,0,-
3/19/2020,NY-Genesee,1,0,-
3/19/2020,NY-Greene,2,0,-
3/19/2020,NY-Hamilton,2,0,-
3/19/2020,NY-Herkimer,1,0,-
3/19/2020,NY-Monroe,30,1,-
3/19/2020,NY-Montgomery,2,0,-
3/19/2020,NY-Nassau,372,1,-
