Date,State,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000
3/22/2020,2020-01-24,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,2(+100%),0,1,0,0,0,0,1,0,0,0,0
3/22/2020,2020-01-25,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,3(+50%),0,2,0,0,0,0,2,0,0,0,0
3/22/2020,2020-01-26,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,5(+67%),0,3,0,0,0,0,3,0,0,0,0
3/22/2020,2020-01-30,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,6(+20%),0,4,0,0,0,0,4,0,0,0,0
3/22/2020,2020-01-31,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,7(+17%),0,5,0,0,0,0,5,0,0,0,0
3/22/2020,2020-02-01,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,8(+14%),0,6,0,0,0,0,6,0,0,0,0
3/22/2020,2020-02-02,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,11(+38%),0,7,0,0,0,0,7,0,0,0,0
3/22/2020,2020-02-05,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,12(+9%),0,8,0,0,0,0,8,0,0,0,0
3/22/2020,2020-02-20,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,14(+17%),0,9,0,0,0,0,9,0,0,0,0
3/22/2020,2020-02-21,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,2(+100%),2(+100%),0,1.0,2(+100%),1.0,20(+96%),0,10,0,0,0,0,1,0,1,0,1
3/22/2020,2020-02-26,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,15(+7%),0,11,0,0,0,0,2,0,0,0,0
3/22/2020,2020-02-27,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,15(=),0,12,0,0,0,0,3,0,0,0,0
3/22/2020,2020-02-28,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,19(+27%),0,13,0,0,0,0,4,0,0,0,0
3/22/2020,2020-02-29,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,1,1,0,1.0,1,1.0,24(+26%),-1,14,0,0,0,0,1,0,0,0,0
3/22/2020,2020-03-01,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,2(+100%),2(+100%),0,1.0,2(+100%),1.0,42(+75%),0,15,0,0,0,0,1,0,1,0,1
3/22/2020,2020-03-02,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,6(+200%),6(+200%),0,1.0,6(+200%),1.0,57(+36%),0,16,0,0,0,0,1,1,1,1,1
3/22/2020,2020-03-03,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,9(+50%),9(+50%),0,1.0,9(+50%),1.0,85(+49%),0,17,0,0,0,0,1,1,1,1,1
3/22/2020,2020-03-04,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,12(+3) (+50%),12(+3) (+50%),0,1.0,12(+3) (+50%),1.0,111(+31%),0,18,0,0,0,0,1,0,1,0,1
3/22/2020,2020-03-05,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,12(=),12(=),0,1.0,12(=),1.0,175(+58%),0,19,0,0,0,0,1,0,1,0,1
3/22/2020,2020-03-06,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,18(+6) (+50%),18(+6) (+50%),0,1.0,18(+6) (+50%),1.0,252(+44%),0,20,0,0,0,0,1,0,1,0,1
3/22/2020,2020-03-07,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,19(+1) (+6%),19(+1) (+6%),0,1.0,19(+1) (+6%),1.0,353(+40%),0,21,0,0,0,0,1,0,1,0,1
3/22/2020,2020-03-08,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,22(+3) (+16%),22(+3) (+16%),0,1.0,22(+3) (+16%),1.0,497(+41%),0,22,0,0,0,0,1,0,1,0,1
3/22/2020,2020-03-09,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,26(+4) (+18%),26(+4) (+18%),0,1.0,26(+4) (+18%),1.0,645(+30%),0,23,0,0,0,0,1,0,1,1,1
3/22/2020,2020-03-10,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,31(+5) (+19%),31(+5) (+19%),0,1.0,31(+5) (+19%),1.0,936(+45%),0,24,0,0,0,0,1,0,1,1,1
3/22/2020,2020-03-11,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,38(+7) (+23%),38(+7) (+23%),0,1.0,38(+7) (+23%),1.0,"1,205(+29%)",0,25,0,0,0,0,1,0,1,1,1
3/22/2020,2020-03-12,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,42(+4) (+11%),42(+4) (+11%),0,1.0,42(+4) (+11%),1.0,"1,598(+33%)",0,26,0,0,0,0,1,0,1,1,1
3/22/2020,2020-03-13,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,49(+7) (+17%),49(+7) (+17%),0,1.0,49(+7) (+17%),1.0,"2,163(+35%)",0,27,0,0,0,0,1,0,1,1,1
3/22/2020,2020-03-14,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,56(+7) (+14%),56(+7) (+14%),0,1.0,56(+7) (+14%),1.0,"2,825(+31%)",0,28,0,0,0,0,1,1,1,1,1
3/22/2020,2020-03-15,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,62(+6) (+11%),62(+6) (+11%),0,1.0,62(+6) (+11%),1.0,"3,497(+24%)",0,29,0,0,0,0,1,1,1,1,1
3/22/2020,2020-03-16,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,75(+13) (+21%),75(+13) (+21%),0,1.0,75(+13) (+21%),1.0,"4,372(+25%)",0,30,0,0,0,0,1,1,1,1,1
3/22/2020,2020-03-17,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,96(+21) (+28%),96(+21) (+28%),0,1.0,96(+21) (+28%),1.0,"5,656(+29%)",0,31,0,0,0,0,1,1,1,1,1
3/22/2020,2020-03-18,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,122(+26) (+23%),122(+26) (+23%),0,1.0,122(+26) (+23%),1.0,"8,074(+43%)",0,32,0,0,0,0,1,0,1,0,1
