Date,State,Type,Cases
3/17/2020,Alabama,Confirmed,39
3/17/2020,Alabama,Deaths,0
3/17/2020,Alabama,Recovered,0
3/18/2020,Alabama,Confirmed,51
3/18/2020,Alabama,Deaths,0
3/18/2020,Alabama,Recovered,0
3/19/2020,Alabama,Confirmed,78
3/19/2020,Alabama,Deaths,0
3/19/2020,Alabama,Recovered,0
3/20/2020,Alabama,Confirmed,106
3/20/2020,Alabama,Deaths,0
3/20/2020,Alabama,Recovered,0
3/21/2020,Alabama,Confirmed,124
3/21/2020,Alabama,Deaths,0
3/21/2020,Alabama,Recovered,0
3/22/2020,Alabama,Confirmed,124
3/22/2020,Alabama,Deaths,0
3/22/2020,Alabama,Recovered,0
3/17/2020,Alaska,Confirmed,3
3/17/2020,Alaska,Deaths,0
3/17/2020,Alaska,Recovered,0
3/18/2020,Alaska,Confirmed,6
3/18/2020,Alaska,Deaths,0
3/18/2020,Alaska,Recovered,0
3/19/2020,Alaska,Confirmed,9
3/19/2020,Alaska,Deaths,0
3/19/2020,Alaska,Recovered,0
3/20/2020,Alaska,Confirmed,12
3/20/2020,Alaska,Deaths,0
3/20/2020,Alaska,Recovered,0
3/21/2020,Alaska,Confirmed,12
3/21/2020,Alaska,Deaths,0
3/21/2020,Alaska,Recovered,0
3/22/2020,Alaska,Confirmed,12
3/22/2020,Alaska,Deaths,0
3/22/2020,Alaska,Recovered,0
3/17/2020,American Samoa,Confirmed,0
3/17/2020,American Samoa,Deaths,0
3/17/2020,American Samoa,Recovered,0
3/18/2020,American Samoa,Confirmed,0
3/18/2020,American Samoa,Deaths,0
3/18/2020,American Samoa,Recovered,0
3/19/2020,American Samoa,Confirmed,0
3/19/2020,American Samoa,Deaths,0
3/19/2020,American Samoa,Recovered,0
3/20/2020,American Samoa,Confirmed,0
3/20/2020,American Samoa,Deaths,0
3/20/2020,American Samoa,Recovered,0
3/21/2020,American Samoa,Confirmed,0
3/21/2020,American Samoa,Deaths,0
3/21/2020,American Samoa,Recovered,0
3/22/2020,American Samoa,Confirmed,0
3/22/2020,American Samoa,Deaths,0
3/22/2020,American Samoa,Recovered,0
3/17/2020,Arizona,Confirmed,13
3/17/2020,Arizona,Deaths,0
3/17/2020,Arizona,Recovered,1
3/18/2020,Arizona,Confirmed,27
3/18/2020,Arizona,Deaths,0
3/18/2020,Arizona,Recovered,1
3/19/2020,Arizona,Confirmed,45
3/19/2020,Arizona,Deaths,0
3/19/2020,Arizona,Recovered,1
3/20/2020,Arizona,Confirmed,79
3/20/2020,Arizona,Deaths,0
3/20/2020,Arizona,Recovered,1
3/21/2020,Arizona,Confirmed,79
3/21/2020,Arizona,Deaths,0
3/21/2020,Arizona,Recovered,1
3/22/2020,Arizona,Confirmed,79
3/22/2020,Arizona,Deaths,0
3/22/2020,Arizona,Recovered,1
3/17/2020,Arkansas,Confirmed,22
3/17/2020,Arkansas,Deaths,0
3/17/2020,Arkansas,Recovered,0
3/18/2020,Arkansas,Confirmed,30
3/18/2020,Arkansas,Deaths,0
3/18/2020,Arkansas,Recovered,0
3/19/2020,Arkansas,Confirmed,62
3/19/2020,Arkansas,Deaths,0
3/19/2020,Arkansas,Recovered,0
3/20/2020,Arkansas,Confirmed,96
3/20/2020,Arkansas,Deaths,0
3/20/2020,Arkansas,Recovered,0
3/21/2020,Arkansas,Confirmed,96
3/21/2020,Arkansas,Deaths,0
3/21/2020,Arkansas,Recovered,0
