Date,Country,Confirmed,Deaths,Recovered,Critical,Per1M
3/17/20,Afghanistan,22,0,1,0,0.6
3/18/2020,Afghanistan,22,0,1,0,0.6
3/18/2020,Afghanistan,22,0,1,0,0.6
3/19/2020,Afghanistan,22,0,1,0,0.6
3/17/20,Albania,59,2,0,2,19
3/18/2020,Albania,59,2,0,2,21
3/18/2020,Albania,59,2,0,2,21
3/19/2020,Albania,64,2,0,2,22
3/17/20,Algeria,75,7,10,0,1
3/18/2020,Algeria,75,7,32,0,2
3/18/2020,Algeria,75,7,32,0,2
3/19/2020,Algeria,87,9,32,0,2
3/17/20,Andorra,53,0,1,0,505
3/18/2020,Andorra,53,0,1,0,686
3/18/2020,Andorra,53,0,1,0,686
3/19/2020,Andorra,53,0,1,0,686
3/17/20,Antigua and Barbuda,1,0,0,0,10
3/18/2020,Antigua and Barbuda,1,0,0,0,10
3/18/2020,Antigua and Barbuda,1,0,0,0,10
3/19/2020,Antigua and Barbuda,1,0,0,0,10
3/17/20,Argentina,97,2,3,1,2
3/18/2020,Argentina,97,2,3,1,2
3/18/2020,Argentina,97,2,3,1,2
3/19/2020,Argentina,97,3,3,0,2
3/17/20,Armenia,110,0,1,2,26
3/18/2020,Armenia,110,0,1,2,37
3/18/2020,Armenia,110,0,1,2,37
3/19/2020,Armenia,122,0,1,2,41
3/17/20,Aruba,4,0,0,0,28
3/18/2020,Aruba,4,0,0,0,37
3/18/2020,Aruba,4,0,0,0,37
3/19/2020,Aruba,5,0,0,0,47
3/17/20,Australia,596,6,27,1,18
3/18/2020,Australia,596,6,43,1,25
3/18/2020,Australia,596,6,43,1,25
3/19/2020,Australia,709,6,46,1,28
3/17/20,Austria,1646,4,9,12,148
3/18/2020,Austria,1646,4,9,12,183
3/18/2020,Austria,1646,4,9,12,183
3/19/2020,Austria,2013,6,9,12,224
3/17/20,Azerbaijan,34,1,6,0,3
3/18/2020,Azerbaijan,34,1,7,0,3
3/18/2020,Azerbaijan,34,1,7,0,3
3/19/2020,Azerbaijan,44,1,7,0,4
3/17/20,Bahamas,1,0,0,0,3
3/18/2020,Bahamas,1,0,0,0,3
3/18/2020,Bahamas,1,0,0,0,3
3/19/2020,Bahamas,3,0,0,0,8
3/17/20,Bahrain,256,1,88,3,142
3/18/2020,Bahrain,256,1,95,3,150
