Date,Country,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/17/20,Afghanistan,22,22,0,1.0,22,1.0,0,0,0,1.0,0,1.0,1,0,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Afghanistan,22,0,22,,11,,0,0,0,,0,,1,0,0,0,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/18/20,Afghanistan,22,0,0,,0,,0,0,0,,0,,1,0,0,0,21,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Afghanistan,24,2,0,7.3,1,14.7,0,0,0,,0,,1,0,0,0,23,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Afghanistan,24,0,2,,1,16.1,0,0,0,,0,,1,0,0,0,23,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Afghanistan,40,16,0,1.0,8,2.0,1,1,0,,0.5,,1,0,0,0,38,6,6,0,0,0,1,0,0,0,0,0,0,0,0,1
3/22/2020,Afghanistan,40,0,16,,8,3.3,1,0,1,,0.5,1.4,1,0,0,0,38,7,7,0,0,0,2,0,0,0,0,0,0,0,0,1
3/23/2020,Afghanistan,40,0,0,,8,3.3,1,0,0,,,1.4,1,0,0,0,38,8,8,0,0,0,3,0,0,0,0,0,0,0,0,1
3/17/20,Albania,59,59,0,1.0,59,1.0,2,2,0,1.0,2,1.0,0,2,2,2,57,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
3/18/20,Albania,64,5,59,8.0,32,8.0,2,0,2,,1,,0,2,2,2,62,2,2,0,0,0,2,0,0,0,0,2,0,0,0,1
3/18/20,Albania,64,0,5,,2.5,17.4,2,0,0,,0,,0,2,2,2,62,3,3,0,0,0,3,0,0,0,0,3,0,0,0,1
3/19/2020,Albania,70,6,0,7.2,3,14.5,2,0,0,,0,,0,2,2,2,68,4,4,0,0,0,4,0,0,0,0,4,0,0,0,1
3/20/2020,Albania,76,6,6,7.9,6,7.9,2,0,0,,0,,2,2,2,2,72,5,5,0,0,0,5,0,0,0,0,5,0,0,0,1
3/21/2020,Albania,89,13,6,3.9,9.5,5.3,2,0,0,,0,,2,2,2,2,85,6,6,0,0,0,6,0,0,0,0,6,0,0,0,1
3/22/2020,Albania,89,0,13,,6.5,9.2,2,0,0,,0,,2,2,2,2,85,7,7,0,0,0,7,0,0,0,0,7,0,0,0,1
3/23/2020,Albania,104,15,0,4.0,7.5,7.9,4,2,0,0.7,1,1.4,2,2,2,2,98,8,8,1,0,0,8,0,0,0,0,8,0,0,0,1
3/17/20,Algeria,75,75,0,1.0,75,1.0,7,7,0,1.0,7,1.0,10,0,0,0,58,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3/18/20,Algeria,90,15,75,2.7,45,2.7,9,2,7,2.5,4.5,2.5,32,0,0,0,49,2,2,0,0,0,2,2,0,0,0,0,0,0,0,1
3/18/20,Algeria,90,0,15,,7.5,4.6,9,0,2,,1,6.3,32,0,0,0,49,3,3,0,0,0,3,3,0,0,0,0,0,0,0,1
3/19/2020,Algeria,94,4,0,8.6,2,17.1,11,2,0,3.1,1,6.3,32,0,0,0,51,4,4,0,0,0,4,4,0,0,0,0,0,0,0,1
3/20/2020,Algeria,139,45,4,0.8,24.5,1.5,15,4,2,1.9,3,2.6,32,0,0,0,92,5,5,1,0,0,5,5,0,0,0,0,0,0,0,1
3/21/2020,Algeria,201,62,45,1.0,53.5,1.2,17,2,4,5.3,3,3.5,65,0,0,0,119,6,6,2,0,0,6,6,0,0,0,0,0,0,0,1
3/22/2020,Algeria,201,0,62,,31,2.7,17,0,2,,1,11.9,65,0,0,0,119,7,7,3,0,0,7,7,0,0,0,0,0,0,0,1
3/23/2020,Algeria,201,0,0,,31,2.7,17,0,0,,,11.9,65,0,0,0,119,8,8,4,0,0,8,8,0,0,0,0,0,0,0,1
3/17/20,Andorra,53,53,0,1.0,53,1.0,0,0,0,1.0,0,1.0,1,0,0,0,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Andorra,74,21,53,1.7,37,1.7,0,0,0,,0,,1,0,0,0,73,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/18/20,Andorra,74,0,21,,10.5,4.9,0,0,0,,0,,1,0,0,0,73,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Andorra,75,1,0,51.1,0.5,102.2,0,0,0,,0,,1,0,0,0,74,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Andorra,88,13,1,4.0,7,7.4,0,0,0,,0,,1,2,2,1,87,5,5,0,0,0,0,0,0,0,0,1,0,0,0,1
3/21/2020,Andorra,113,25,13,2.4,19,3.2,1,1,0,,0.5,,1,2,2,2,111,6,6,1,0,0,1,0,0,0,0,2,0,0,0,1
3/22/2020,Andorra,113,0,25,,12.5,6.2,1,0,1,,0.5,1.4,1,2,2,2,111,7,7,2,0,0,2,0,0,0,0,3,0,0,0,1
3/23/2020,Andorra,133,20,0,3.9,10,7.8,1,0,0,,,1.4,1,2,2,2,131,8,8,3,0,0,3,0,0,0,0,4,0,0,0,1
3/20/2020,Angola,2,2,0,1.0,2,1.0,0,0,0,1.0,0,1.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/21/2020,Angola,2,0,2,,1,,0,0,0,,0,,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Angola,2,0,0,,0,,0,0,0,,0,,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/23/2020,Angola,2,0,0,,0,,0,0,0,,,,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Antigua and Barbuda,1,1,0,1.0,1,1.0,0,0,0,1.0,0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Antigua and Barbuda,1,0,1,,0.5,,0,0,0,,0,,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/18/20,Antigua and Barbuda,1,0,0,,0,,0,0,0,,0,,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Antigua and Barbuda,1,0,0,,0,,0,0,0,,0,,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Antigua and Barbuda,1,0,0,,0,,0,0,0,,0,,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Antigua and Barbuda,1,0,0,,0,,0,0,0,,0,,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Antigua and Barbuda,1,0,0,,0,,0,0,0,,0,,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/23/2020,Antigua and Barbuda,1,0,0,,0,,0,0,0,,,,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Argentina,97,97,0,1.0,97,1.0,2,2,0,1.0,2,1.0,3,1,1,1,92,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
3/18/20,Argentina,128,31,97,2.1,64,2.1,3,1,2,1.4,1.5,1.4,3,1,1,1,122,2,2,1,0,0,2,0,0,0,0,2,0,0,0,1
3/18/20,Argentina,128,0,31,,15.5,5.5,3,0,1,,0.5,4.2,3,1,1,1,122,3,3,2,0,0,3,0,0,0,0,3,0,0,0,1
3/19/2020,Argentina,158,30,0,2.8,15,5.7,3,0,0,,0,,3,0,0,0.5,152,4,4,3,0,0,4,0,0,0,0,4,0,0,0,1
3/20/2020,Argentina,158,0,30,,15,7.1,4,1,0,2.1,0.5,4.2,3,0,0,0,151,5,5,4,0,0,5,0,0,0,0,5,0,0,0,1
3/21/2020,Argentina,266,108,0,1.0,54,2.0,4,0,1,,0.5,5.6,27,0,0,0,235,6,6,5,1,0,6,0,0,0,0,6,0,0,0,1
3/22/2020,Argentina,266,0,108,,54,3.0,4,0,0,,0,,27,0,0,0,235,7,7,6,2,0,7,0,0,0,0,7,0,0,0,1
3/23/2020,Argentina,266,0,0,,54,3.0,4,0,0,,,,27,0,0,0,235,8,8,7,3,0,8,0,0,0,0,8,0,0,0,1
3/17/20,Armenia,110,110,0,1.0,110,1.0,0,0,0,1.0,0,1.0,1,2,2,2,109,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
3/18/20,Armenia,122,12,110,6.4,61,6.4,0,0,0,,0,,1,2,2,2,121,2,2,2,0,0,0,0,0,0,0,2,0,0,0,1
3/18/20,Armenia,122,0,12,,6,14.1,0,0,0,,0,,1,2,2,2,121,3,3,3,0,0,0,0,0,0,0,3,0,0,0,1
3/19/2020,Armenia,136,14,0,6.0,7,12.1,0,0,0,,0,,1,2,2,2,135,4,4,4,0,0,0,0,0,0,0,4,0,0,0,1
3/20/2020,Armenia,160,24,14,3.9,19,5.0,0,0,0,,0,,1,2,2,2,159,5,5,5,0,0,0,0,0,0,0,5,0,0,0,1
