Date,Country,Type,Cases
3/17/20,Afghanistan,Confirmed,22
3/17/20,Afghanistan,Deaths,0
3/17/20,Afghanistan,Recovered,1
3/17/20,Afghanistan,Critical,0
3/17/20,Afghanistan,Per1M,0.6
3/18/20,Afghanistan,Confirmed,22
3/18/20,Afghanistan,Deaths,0
3/18/20,Afghanistan,Recovered,1
3/18/20,Afghanistan,Critical,0
3/18/20,Afghanistan,Per1M,0.6
3/18/20,Afghanistan,Confirmed,22
3/18/20,Afghanistan,Deaths,0
3/18/20,Afghanistan,Recovered,1
3/18/20,Afghanistan,Critical,0
3/18/20,Afghanistan,Per1M,0.6
3/19/2020,Afghanistan,Confirmed,24
3/19/2020,Afghanistan,Deaths,0
3/19/2020,Afghanistan,Recovered,1
3/19/2020,Afghanistan,Critical,0
3/19/2020,Afghanistan,Per1M,0.6
3/20/2020,Afghanistan,Confirmed,24
3/20/2020,Afghanistan,Deaths,0
3/20/2020,Afghanistan,Recovered,1
3/20/2020,Afghanistan,Critical,0
3/20/2020,Afghanistan,Per1M,0.6
3/21/2020,Afghanistan,Confirmed,40
3/21/2020,Afghanistan,Deaths,1
3/21/2020,Afghanistan,Recovered,1
3/21/2020,Afghanistan,Critical,0
3/21/2020,Afghanistan,Per1M,0.6
3/22/2020,Afghanistan,Confirmed,40
3/22/2020,Afghanistan,Deaths,1
3/22/2020,Afghanistan,Recovered,1
3/22/2020,Afghanistan,Critical,0
3/22/2020,Afghanistan,Per1M,1
3/23/2020,Afghanistan,Confirmed,40
3/23/2020,Afghanistan,Deaths,1
3/23/2020,Afghanistan,Recovered,1
3/23/2020,Afghanistan,Critical,0
3/23/2020,Afghanistan,Per1M,1
3/17/20,Albania,Confirmed,59
3/17/20,Albania,Deaths,2
3/17/20,Albania,Recovered,0
3/17/20,Albania,Critical,2
3/17/20,Albania,Per1M,19
3/18/20,Albania,Confirmed,64
3/18/20,Albania,Deaths,2
3/18/20,Albania,Recovered,0
3/18/20,Albania,Critical,2
3/18/20,Albania,Per1M,21
3/18/20,Albania,Confirmed,64
3/18/20,Albania,Deaths,2
3/18/20,Albania,Recovered,0
3/18/20,Albania,Critical,2
3/18/20,Albania,Per1M,21
3/19/2020,Albania,Confirmed,70
3/19/2020,Albania,Deaths,2
3/19/2020,Albania,Recovered,0
3/19/2020,Albania,Critical,2
3/19/2020,Albania,Per1M,22
3/20/2020,Albania,Confirmed,76
3/20/2020,Albania,Deaths,2
3/20/2020,Albania,Recovered,2
3/20/2020,Albania,Critical,2
3/20/2020,Albania,Per1M,24
3/21/2020,Albania,Confirmed,89
3/21/2020,Albania,Deaths,2
3/21/2020,Albania,Recovered,2
3/21/2020,Albania,Critical,2
3/21/2020,Albania,Per1M,26
3/22/2020,Albania,Confirmed,89
3/22/2020,Albania,Deaths,2
3/22/2020,Albania,Recovered,2
3/22/2020,Albania,Critical,2
3/22/2020,Albania,Per1M,31
3/23/2020,Albania,Confirmed,104
3/23/2020,Albania,Deaths,4
3/23/2020,Albania,Recovered,2
3/23/2020,Albania,Critical,2
3/23/2020,Albania,Per1M,36
3/17/20,Algeria,Confirmed,75
3/17/20,Algeria,Deaths,7
3/17/20,Algeria,Recovered,10
3/17/20,Algeria,Critical,0
3/17/20,Algeria,Per1M,1
3/18/20,Algeria,Confirmed,90
3/18/20,Algeria,Deaths,9
3/18/20,Algeria,Recovered,32
3/18/20,Algeria,Critical,0
3/18/20,Algeria,Per1M,2
3/18/20,Algeria,Confirmed,90
3/18/20,Algeria,Deaths,9
3/18/20,Algeria,Recovered,32
3/18/20,Algeria,Critical,0
3/18/20,Algeria,Per1M,2
3/19/2020,Algeria,Confirmed,94
3/19/2020,Algeria,Deaths,11
3/19/2020,Algeria,Recovered,32
3/19/2020,Algeria,Critical,0
3/19/2020,Algeria,Per1M,2
3/20/2020,Algeria,Confirmed,139
3/20/2020,Algeria,Deaths,15
3/20/2020,Algeria,Recovered,32
3/20/2020,Algeria,Critical,0
3/20/2020,Algeria,Per1M,2
3/21/2020,Algeria,Confirmed,201
3/21/2020,Algeria,Deaths,17
3/21/2020,Algeria,Recovered,65
3/21/2020,Algeria,Critical,0
3/21/2020,Algeria,Per1M,3
3/22/2020,Algeria,Confirmed,201
3/22/2020,Algeria,Deaths,17
3/22/2020,Algeria,Recovered,65
3/22/2020,Algeria,Critical,0
3/22/2020,Algeria,Per1M,5
3/23/2020,Algeria,Confirmed,201
3/23/2020,Algeria,Deaths,17
3/23/2020,Algeria,Recovered,65
3/23/2020,Algeria,Critical,0
3/23/2020,Algeria,Per1M,5
3/17/20,Andorra,Confirmed,53
3/17/20,Andorra,Deaths,0
3/17/20,Andorra,Recovered,1
3/17/20,Andorra,Critical,0
3/17/20,Andorra,Per1M,505
3/18/20,Andorra,Confirmed,74
3/18/20,Andorra,Deaths,0
3/18/20,Andorra,Recovered,1
3/18/20,Andorra,Critical,0
3/18/20,Andorra,Per1M,686
3/18/20,Andorra,Confirmed,74
3/18/20,Andorra,Deaths,0
3/18/20,Andorra,Recovered,1
3/18/20,Andorra,Critical,0
3/18/20,Andorra,Per1M,686
3/19/2020,Andorra,Confirmed,75
3/19/2020,Andorra,Deaths,0
3/19/2020,Andorra,Recovered,1
3/19/2020,Andorra,Critical,0
3/19/2020,Andorra,Per1M,958
3/20/2020,Andorra,Confirmed,88
3/20/2020,Andorra,Deaths,0
3/20/2020,Andorra,Recovered,1
3/20/2020,Andorra,Critical,2
3/20/2020,Andorra,Per1M,971
3/21/2020,Andorra,Confirmed,113
3/21/2020,Andorra,Deaths,1
3/21/2020,Andorra,Recovered,1
3/21/2020,Andorra,Critical,2
3/21/2020,Andorra,Per1M,1139
3/22/2020,Andorra,Confirmed,113
3/22/2020,Andorra,Deaths,1
3/22/2020,Andorra,Recovered,1
3/22/2020,Andorra,Critical,2
3/22/2020,Andorra,Per1M,1462
3/23/2020,Andorra,Confirmed,133
3/23/2020,Andorra,Deaths,1
3/23/2020,Andorra,Recovered,1
3/23/2020,Andorra,Critical,2
3/23/2020,Andorra,Per1M,1721
3/20/2020,Angola,Confirmed,2
3/20/2020,Angola,Deaths,0
3/20/2020,Angola,Recovered,0
3/20/2020,Angola,Critical,0
3/20/2020,Angola,Per1M,0.03
3/21/2020,Angola,Confirmed,2
3/21/2020,Angola,Deaths,0
3/21/2020,Angola,Recovered,0
3/21/2020,Angola,Critical,0
3/21/2020,Angola,Per1M,0.06
3/22/2020,Angola,Confirmed,2
3/22/2020,Angola,Deaths,0
3/22/2020,Angola,Recovered,0
3/22/2020,Angola,Critical,0
3/22/2020,Angola,Per1M,0.06
3/23/2020,Angola,Confirmed,2
3/23/2020,Angola,Deaths,0
3/23/2020,Angola,Recovered,0
3/23/2020,Angola,Critical,0
3/23/2020,Angola,Per1M,0.06
3/17/20,Antigua and Barbuda,Confirmed,1
3/17/20,Antigua and Barbuda,Deaths,0
3/17/20,Antigua and Barbuda,Recovered,0
3/17/20,Antigua and Barbuda,Critical,0
3/17/20,Antigua and Barbuda,Per1M,10
3/18/20,Antigua and Barbuda,Confirmed,1
3/18/20,Antigua and Barbuda,Deaths,0
3/18/20,Antigua and Barbuda,Recovered,0
3/18/20,Antigua and Barbuda,Critical,0
3/18/20,Antigua and Barbuda,Per1M,10
3/18/20,Antigua and Barbuda,Confirmed,1
3/18/20,Antigua and Barbuda,Deaths,0
3/18/20,Antigua and Barbuda,Recovered,0
3/18/20,Antigua and Barbuda,Critical,0
3/18/20,Antigua and Barbuda,Per1M,10
3/19/2020,Antigua and Barbuda,Confirmed,1
3/19/2020,Antigua and Barbuda,Deaths,0
3/19/2020,Antigua and Barbuda,Recovered,0
3/19/2020,Antigua and Barbuda,Critical,0
3/19/2020,Antigua and Barbuda,Per1M,10
3/20/2020,Antigua and Barbuda,Confirmed,1
3/20/2020,Antigua and Barbuda,Deaths,0
3/20/2020,Antigua and Barbuda,Recovered,0
3/20/2020,Antigua and Barbuda,Critical,0
3/20/2020,Antigua and Barbuda,Per1M,10
3/21/2020,Antigua and Barbuda,Confirmed,1
3/21/2020,Antigua and Barbuda,Deaths,0
3/21/2020,Antigua and Barbuda,Recovered,0
3/21/2020,Antigua and Barbuda,Critical,0
3/21/2020,Antigua and Barbuda,Per1M,10
3/22/2020,Antigua and Barbuda,Confirmed,1
3/22/2020,Antigua and Barbuda,Deaths,0
3/22/2020,Antigua and Barbuda,Recovered,0
3/22/2020,Antigua and Barbuda,Critical,0
3/22/2020,Antigua and Barbuda,Per1M,10
3/23/2020,Antigua and Barbuda,Confirmed,1
3/23/2020,Antigua and Barbuda,Deaths,0
3/23/2020,Antigua and Barbuda,Recovered,0
3/23/2020,Antigua and Barbuda,Critical,0
3/23/2020,Antigua and Barbuda,Per1M,10
3/17/20,Argentina,Confirmed,97
3/17/20,Argentina,Deaths,2
3/17/20,Argentina,Recovered,3
3/17/20,Argentina,Critical,1
3/17/20,Argentina,Per1M,2
3/18/20,Argentina,Confirmed,128
3/18/20,Argentina,Deaths,3
3/18/20,Argentina,Recovered,3
3/18/20,Argentina,Critical,1
3/18/20,Argentina,Per1M,2
3/18/20,Argentina,Confirmed,128
3/18/20,Argentina,Deaths,3
3/18/20,Argentina,Recovered,3
3/18/20,Argentina,Critical,1
3/18/20,Argentina,Per1M,2
3/19/2020,Argentina,Confirmed,158
3/19/2020,Argentina,Deaths,3
3/19/2020,Argentina,Recovered,3
3/19/2020,Argentina,Critical,0
3/19/2020,Argentina,Per1M,3
3/20/2020,Argentina,Confirmed,158
3/20/2020,Argentina,Deaths,4
3/20/2020,Argentina,Recovered,3
3/20/2020,Argentina,Critical,0
3/20/2020,Argentina,Per1M,3
3/21/2020,Argentina,Confirmed,266
3/21/2020,Argentina,Deaths,4
3/21/2020,Argentina,Recovered,27
3/21/2020,Argentina,Critical,0
3/21/2020,Argentina,Per1M,5
3/22/2020,Argentina,Confirmed,266
3/22/2020,Argentina,Deaths,4
3/22/2020,Argentina,Recovered,27
3/22/2020,Argentina,Critical,0
3/22/2020,Argentina,Per1M,6
3/23/2020,Argentina,Confirmed,266
3/23/2020,Argentina,Deaths,4
3/23/2020,Argentina,Recovered,27
3/23/2020,Argentina,Critical,0
3/23/2020,Argentina,Per1M,6
3/17/20,Armenia,Confirmed,110
3/17/20,Armenia,Deaths,0
3/17/20,Armenia,Recovered,1
3/17/20,Armenia,Critical,2
3/17/20,Armenia,Per1M,26
3/18/20,Armenia,Confirmed,122
3/18/20,Armenia,Deaths,0
3/18/20,Armenia,Recovered,1
3/18/20,Armenia,Critical,2
3/18/20,Armenia,Per1M,37
3/18/20,Armenia,Confirmed,122
3/18/20,Armenia,Deaths,0
3/18/20,Armenia,Recovered,1
3/18/20,Armenia,Critical,2
3/18/20,Armenia,Per1M,37
3/19/2020,Armenia,Confirmed,136
3/19/2020,Armenia,Deaths,0
3/19/2020,Armenia,Recovered,1
3/19/2020,Armenia,Critical,2
3/19/2020,Armenia,Per1M,41
3/20/2020,Armenia,Confirmed,160
3/20/2020,Armenia,Deaths,0
3/20/2020,Armenia,Recovered,1
3/20/2020,Armenia,Critical,2
3/20/2020,Armenia,Per1M,46
3/21/2020,Armenia,Confirmed,194
3/21/2020,Armenia,Deaths,0
3/21/2020,Armenia,Recovered,1
3/21/2020,Armenia,Critical,2
3/21/2020,Armenia,Per1M,54
3/22/2020,Armenia,Confirmed,194
3/22/2020,Armenia,Deaths,0
3/22/2020,Armenia,Recovered,2
3/22/2020,Armenia,Critical,6
3/22/2020,Armenia,Per1M,65
3/23/2020,Armenia,Confirmed,194
3/23/2020,Armenia,Deaths,0
3/23/2020,Armenia,Recovered,2
3/23/2020,Armenia,Critical,6
3/23/2020,Armenia,Per1M,65
3/17/20,Aruba,Confirmed,4
3/17/20,Aruba,Deaths,0
3/17/20,Aruba,Recovered,0
3/17/20,Aruba,Critical,0
3/17/20,Aruba,Per1M,28
3/18/20,Aruba,Confirmed,5
3/18/20,Aruba,Deaths,0
3/18/20,Aruba,Recovered,0
3/18/20,Aruba,Critical,0
3/18/20,Aruba,Per1M,37
3/18/20,Aruba,Confirmed,5
3/18/20,Aruba,Deaths,0
3/18/20,Aruba,Recovered,0
3/18/20,Aruba,Critical,0
3/18/20,Aruba,Per1M,37
3/19/2020,Aruba,Confirmed,5
3/19/2020,Aruba,Deaths,0
3/19/2020,Aruba,Recovered,1
3/19/2020,Aruba,Critical,0
3/19/2020,Aruba,Per1M,47
3/20/2020,Aruba,Confirmed,5
3/20/2020,Aruba,Deaths,0
3/20/2020,Aruba,Recovered,1
3/20/2020,Aruba,Critical,0
3/20/2020,Aruba,Per1M,47
3/21/2020,Aruba,Confirmed,9
3/21/2020,Aruba,Deaths,0
3/21/2020,Aruba,Recovered,1
3/21/2020,Aruba,Critical,0
3/21/2020,Aruba,Per1M,47
3/22/2020,Aruba,Confirmed,9
3/22/2020,Aruba,Deaths,0
3/22/2020,Aruba,Recovered,1
3/22/2020,Aruba,Critical,0
3/22/2020,Aruba,Per1M,84
3/23/2020,Aruba,Confirmed,9
3/23/2020,Aruba,Deaths,0
3/23/2020,Aruba,Recovered,1
3/23/2020,Aruba,Critical,0
3/23/2020,Aruba,Per1M,84
3/17/20,Australia,Confirmed,596
3/17/20,Australia,Deaths,6
3/17/20,Australia,Recovered,27
3/17/20,Australia,Critical,1
3/17/20,Australia,Per1M,18
3/18/20,Australia,Confirmed,756
3/18/20,Australia,Deaths,7
3/18/20,Australia,Recovered,43
3/18/20,Australia,Critical,1
3/18/20,Australia,Per1M,25
3/18/20,Australia,Confirmed,756
3/18/20,Australia,Deaths,7
3/18/20,Australia,Recovered,43
3/18/20,Australia,Critical,1
3/18/20,Australia,Per1M,25
3/19/2020,Australia,Confirmed,928
3/19/2020,Australia,Deaths,7
3/19/2020,Australia,Recovered,46
3/19/2020,Australia,Critical,1
3/19/2020,Australia,Per1M,30
3/20/2020,Australia,Confirmed,1072
3/20/2020,Australia,Deaths,7
3/20/2020,Australia,Recovered,46
3/20/2020,Australia,Critical,2
3/20/2020,Australia,Per1M,40
3/21/2020,Australia,Confirmed,1609
3/21/2020,Australia,Deaths,7
3/21/2020,Australia,Recovered,46
3/21/2020,Australia,Critical,2
3/21/2020,Australia,Per1M,50
3/22/2020,Australia,Confirmed,1609
3/22/2020,Australia,Deaths,7
3/22/2020,Australia,Recovered,88
3/22/2020,Australia,Critical,11
3/22/2020,Australia,Per1M,64
3/23/2020,Australia,Confirmed,1717
3/23/2020,Australia,Deaths,7
3/23/2020,Australia,Recovered,88
3/23/2020,Australia,Critical,11
3/23/2020,Australia,Per1M,67
3/17/20,Austria,Confirmed,1646
3/17/20,Austria,Deaths,4
3/17/20,Austria,Recovered,9
3/17/20,Austria,Critical,12
3/17/20,Austria,Per1M,148
3/18/20,Austria,Confirmed,2179
3/18/20,Austria,Deaths,6
3/18/20,Austria,Recovered,9
3/18/20,Austria,Critical,12
3/18/20,Austria,Per1M,183
3/18/20,Austria,Confirmed,2179
3/18/20,Austria,Deaths,6
3/18/20,Austria,Recovered,9
3/18/20,Austria,Critical,12
3/18/20,Austria,Per1M,183
3/19/2020,Austria,Confirmed,2649
3/19/2020,Austria,Deaths,6
3/19/2020,Austria,Recovered,9
3/19/2020,Austria,Critical,13
3/19/2020,Austria,Per1M,242
3/20/2020,Austria,Confirmed,2992
3/20/2020,Austria,Deaths,8
3/20/2020,Austria,Recovered,9
3/20/2020,Austria,Critical,14
