type,Province/State,Country/Region,Lat,Long,date,cases
confirmed,,Thailand,15.0,101.0,1/22/20,2
confirmed,,Thailand,15.0,101.0,1/23/20,3
confirmed,,Thailand,15.0,101.0,1/24/20,5
confirmed,,Thailand,15.0,101.0,1/25/20,7
confirmed,,Thailand,15.0,101.0,1/26/20,8
confirmed,,Thailand,15.0,101.0,1/27/20,8
confirmed,,Thailand,15.0,101.0,1/28/20,14
confirmed,,Thailand,15.0,101.0,1/29/20,14
confirmed,,Thailand,15.0,101.0,1/30/20,14
confirmed,,Thailand,15.0,101.0,1/31/20,19
confirmed,,Thailand,15.0,101.0,2/1/20,19
confirmed,,Thailand,15.0,101.0,2/2/20,19
confirmed,,Thailand,15.0,101.0,2/3/20,19
confirmed,,Thailand,15.0,101.0,2/4/20,25
confirmed,,Thailand,15.0,101.0,2/5/20,25
confirmed,,Thailand,15.0,101.0,2/6/20,25
confirmed,,Thailand,15.0,101.0,2/7/20,25
confirmed,,Thailand,15.0,101.0,2/8/20,32
confirmed,,Thailand,15.0,101.0,2/9/20,32
confirmed,,Thailand,15.0,101.0,2/10/20,32
confirmed,,Thailand,15.0,101.0,2/11/20,33
confirmed,,Thailand,15.0,101.0,2/12/20,33
confirmed,,Thailand,15.0,101.0,2/13/20,33
confirmed,,Thailand,15.0,101.0,2/14/20,33
confirmed,,Thailand,15.0,101.0,2/15/20,33
confirmed,,Thailand,15.0,101.0,2/16/20,34
confirmed,,Thailand,15.0,101.0,2/17/20,35
confirmed,,Thailand,15.0,101.0,2/18/20,35
confirmed,,Thailand,15.0,101.0,2/19/20,35
confirmed,,Thailand,15.0,101.0,2/20/20,35
confirmed,,Thailand,15.0,101.0,2/21/20,35
confirmed,,Thailand,15.0,101.0,2/22/20,35
confirmed,,Thailand,15.0,101.0,2/23/20,35
confirmed,,Thailand,15.0,101.0,2/24/20,35
confirmed,,Thailand,15.0,101.0,2/25/20,37
confirmed,,Thailand,15.0,101.0,2/26/20,40
confirmed,,Thailand,15.0,101.0,2/27/20,40
confirmed,,Thailand,15.0,101.0,2/28/20,41
confirmed,,Thailand,15.0,101.0,2/29/20,42
confirmed,,Thailand,15.0,101.0,3/1/20,42
confirmed,,Thailand,15.0,101.0,3/2/20,43
confirmed,,Thailand,15.0,101.0,3/3/20,43
confirmed,,Thailand,15.0,101.0,3/4/20,43
confirmed,,Thailand,15.0,101.0,3/5/20,47
confirmed,,Thailand,15.0,101.0,3/6/20,48
confirmed,,Thailand,15.0,101.0,3/7/20,50
confirmed,,Thailand,15.0,101.0,3/8/20,50
confirmed,,Thailand,15.0,101.0,3/9/20,50
confirmed,,Thailand,15.0,101.0,3/10/20,53
confirmed,,Thailand,15.0,101.0,3/11/20,59
confirmed,,Thailand,15.0,101.0,3/12/20,70
confirmed,,Thailand,15.0,101.0,3/13/20,75
confirmed,,Thailand,15.0,101.0,3/14/20,82
confirmed,,Thailand,15.0,101.0,3/15/20,114
confirmed,,Thailand,15.0,101.0,3/16/20,147
confirmed,,Thailand,15.0,101.0,3/17/20,177
confirmed,,Thailand,15.0,101.0,3/18/20,212
confirmed,,Japan,36.0,138.0,1/22/20,2
confirmed,,Japan,36.0,138.0,1/23/20,1
confirmed,,Japan,36.0,138.0,1/24/20,2
confirmed,,Japan,36.0,138.0,1/25/20,2
confirmed,,Japan,36.0,138.0,1/26/20,4
confirmed,,Japan,36.0,138.0,1/27/20,4
confirmed,,Japan,36.0,138.0,1/28/20,7
confirmed,,Japan,36.0,138.0,1/29/20,7
confirmed,,Japan,36.0,138.0,1/30/20,11
confirmed,,Japan,36.0,138.0,1/31/20,15
confirmed,,Japan,36.0,138.0,2/1/20,20
confirmed,,Japan,36.0,138.0,2/2/20,20
confirmed,,Japan,36.0,138.0,2/3/20,20
confirmed,,Japan,36.0,138.0,2/4/20,22
confirmed,,Japan,36.0,138.0,2/5/20,22
confirmed,,Japan,36.0,138.0,2/6/20,45
confirmed,,Japan,36.0,138.0,2/7/20,25
confirmed,,Japan,36.0,138.0,2/8/20,25
confirmed,,Japan,36.0,138.0,2/9/20,26
confirmed,,Japan,36.0,138.0,2/10/20,26
confirmed,,Japan,36.0,138.0,2/11/20,26
confirmed,,Japan,36.0,138.0,2/12/20,28
confirmed,,Japan,36.0,138.0,2/13/20,28
confirmed,,Japan,36.0,138.0,2/14/20,29
confirmed,,Japan,36.0,138.0,2/15/20,43
confirmed,,Japan,36.0,138.0,2/16/20,59
confirmed,,Japan,36.0,138.0,2/17/20,66
confirmed,,Japan,36.0,138.0,2/18/20,74
confirmed,,Japan,36.0,138.0,2/19/20,84
confirmed,,Japan,36.0,138.0,2/20/20,94
confirmed,,Japan,36.0,138.0,2/21/20,105
confirmed,,Japan,36.0,138.0,2/22/20,122
